meanstd_percent,method,profit_increment_k20_percent,cost_reduction_percent,carbon_reduction_percent,profit_increment_k20_minimum_percent,profit_increment_k20_variance_pp2,profit_increment_k20_range_pp
2,Bidding,111.7533848642,0.9933490800,1.2651533837,72.7461616853,500.5057739037,121.2948726659
2,Self-scheduling,111.5731733554,0.9865678478,1.2582195565,72.7236899369,497.5029818774,121.0588877361
4,Bidding,111.1382168215,0.9882557422,1.2603749795,72.5653137272,499.5874732877,120.4337696470
4,Self-scheduling,109.7669538023,0.9747181015,1.2459247643,71.4585724876,484.8307720590,118.3225833875
6,Bidding,110.3542788871,0.9887177392,1.2607305273,72.0308078964,494.3538066951,119.3971318415
6,Self-scheduling,107.1948180416,0.9619013539,1.2315039191,70.1444164565,479.0765035998,113.6121035363
8,Bidding,109.3044609276,0.9870991685,1.2576863337,71.8082685116,485.5659709707,116.3012860987
8,Self-scheduling,104.3573229740,0.9401422535,1.2047636936,68.7743018400,483.2105798845,108.6646771301
10,Bidding,108.1773229761,0.9838216226,1.2536932308,71.0748676480,469.5574251850,112.3210443652
10,Self-scheduling,101.0454940160,0.9199368163,1.1816255671,67.1541673922,484.3252427224,102.1218208601
