meanstd_percent,method,month,profit_increment_k20_percent
2,Bidding,202301,133.0291347701
2,Bidding,202302,111.2134587343
2,Bidding,202303,138.0320328386
2,Bidding,202304,130.8131090076
2,Bidding,202305,113.3226755619
2,Bidding,202306,139.6649864725
2,Bidding,202307,79.5666399084
2,Bidding,202308,155.4328412611
2,Bidding,202309,139.1958316400
2,Bidding,202310,107.2228240007
2,Bidding,202311,95.9584425520
2,Bidding,202312,109.0232961656
2,Bidding,202401,194.0410343512
2,Bidding,202402,133.3794539562
2,Bidding,202403,127.2664500939
2,Bidding,202404,109.1576156627
2,Bidding,202405,113.7884604537
2,Bidding,202406,112.0943866617
2,Bidding,202407,83.3830780803
2,Bidding,202408,132.8144906437
2,Bidding,202409,113.1723658491
2,Bidding,202410,104.6212990168
2,Bidding,202411,84.4599453633
2,Bidding,202412,98.7037123204
2,Bidding,202501,103.6858742910
2,Bidding,202502,72.7461616853
2,Bidding,202503,108.8307630198
2,Bidding,202504,124.0703519295
2,Bidding,202505,109.4879126885
2,Bidding,202506,90.4590850485
2,Bidding,202507,123.1110211841
2,Bidding,202508,117.8065167630
2,Bidding,202509,112.4709938307
2,Bidding,202510,100.8768244314
2,Bidding,202511,117.4175849899
2,Bidding,202512,116.6451240268
2,Self-scheduling,202301,132.1395744197
2,Self-scheduling,202302,110.2755277931
2,Self-scheduling,202303,137.8279970660
2,Self-scheduling,202304,130.8792275290
2,Self-scheduling,202305,113.6811208407
2,Self-scheduling,202306,139.9847625501
2,Self-scheduling,202307,80.6281578815
2,Self-scheduling,202308,155.6474265860
2,Self-scheduling,202309,138.5998466606
2,Self-scheduling,202310,106.4346319929
2,Self-scheduling,202311,95.5767434652
2,Self-scheduling,202312,108.7301851394
2,Self-scheduling,202401,193.7825776730
2,Self-scheduling,202402,133.2171073099
2,Self-scheduling,202403,127.3144555081
2,Self-scheduling,202404,109.1698355984
2,Self-scheduling,202405,113.8903642298
2,Self-scheduling,202406,111.9321663842
2,Self-scheduling,202407,83.4517270094
2,Self-scheduling,202408,132.4733871928
2,Self-scheduling,202409,113.0614333211
2,Self-scheduling,202410,104.5337456173
2,Self-scheduling,202411,84.5691682824
2,Self-scheduling,202412,98.3568787599
2,Self-scheduling,202501,103.3259929371
2,Self-scheduling,202502,72.7236899369
2,Self-scheduling,202503,108.8783051275
2,Self-scheduling,202504,124.2248597994
2,Self-scheduling,202505,109.3266402977
2,Self-scheduling,202506,90.4514103541
2,Self-scheduling,202507,122.9233295004
2,Self-scheduling,202508,116.5836567646
2,Self-scheduling,202509,111.7282752323
2,Self-scheduling,202510,100.6505531251
2,Self-scheduling,202511,115.4455101081
2,Self-scheduling,202512,116.2175751853
4,Bidding,202301,131.8306846212
4,Bidding,202302,109.2171681554
4,Bidding,202303,137.3147878820
4,Bidding,202304,130.2626324343
4,Bidding,202305,113.2349144142
4,Bidding,202306,139.2376585080
4,Bidding,202307,79.2854604094
4,Bidding,202308,154.8952039123
4,Bidding,202309,139.0339491774
4,Bidding,202310,106.5112962925
4,Bidding,202311,95.2943201424
4,Bidding,202312,108.2431762010
4,Bidding,202401,192.9990833742
4,Bidding,202402,133.0512991183
4,Bidding,202403,127.3474157145
4,Bidding,202404,108.9266706887
4,Bidding,202405,113.8257170560
4,Bidding,202406,111.7721400946
4,Bidding,202407,82.8321542317
4,Bidding,202408,132.2751001462
4,Bidding,202409,112.5255905716
4,Bidding,202410,104.1856503848
4,Bidding,202411,83.9106029243
4,Bidding,202412,96.8660962377
4,Bidding,202501,102.5374918017
4,Bidding,202502,72.5653137272
4,Bidding,202503,108.4299830034
4,Bidding,202504,123.8422450450
4,Bidding,202505,109.0965607355
4,Bidding,202506,89.9616330242
4,Bidding,202507,122.1649298073
4,Bidding,202508,115.6406547716
4,Bidding,202509,111.4019583405
4,Bidding,202510,99.8352165251
4,Bidding,202511,116.0505515333
4,Bidding,202512,115.6850914715
4,Self-scheduling,202301,128.5386209486
4,Self-scheduling,202302,106.7030450974
4,Self-scheduling,202303,136.6412183822
4,Self-scheduling,202304,129.7287171192
4,Self-scheduling,202305,113.7970185506
4,Self-scheduling,202306,138.8759328842
4,Self-scheduling,202307,79.9383872839
4,Self-scheduling,202308,152.7720519352
4,Self-scheduling,202309,135.7467976534
4,Self-scheduling,202310,104.8583501704
4,Self-scheduling,202311,93.4872922806
4,Self-scheduling,202312,104.3833429946
4,Self-scheduling,202401,189.7811558751
4,Self-scheduling,202402,132.1499705603
4,Self-scheduling,202403,126.8576544090
4,Self-scheduling,202404,108.6109006420
4,Self-scheduling,202405,113.5479889536
4,Self-scheduling,202406,111.2626690734
4,Self-scheduling,202407,81.9552361354
4,Self-scheduling,202408,129.7149432452
4,Self-scheduling,202409,110.4278236667
4,Self-scheduling,202410,102.5446161493
4,Self-scheduling,202411,83.1251390549
4,Self-scheduling,202412,93.1222774223
4,Self-scheduling,202501,100.7467810657
4,Self-scheduling,202502,71.4585724876
4,Self-scheduling,202503,108.0604138630
4,Self-scheduling,202504,123.3713683176
4,Self-scheduling,202505,108.4118093604
4,Self-scheduling,202506,89.6935377805
4,Self-scheduling,202507,119.2193177486
4,Self-scheduling,202508,110.7694150551
4,Self-scheduling,202509,109.7493286972
4,Self-scheduling,202510,99.1023194339
4,Self-scheduling,202511,110.9208341846
4,Self-scheduling,202512,111.1520986083
6,Bidding,202301,130.0798282182
6,Bidding,202302,108.0681745500
6,Bidding,202303,136.5781861845
6,Bidding,202304,129.8652818906
6,Bidding,202305,113.3495955532
6,Bidding,202306,138.9450621611
6,Bidding,202307,78.8816255705
6,Bidding,202308,154.1562718263
6,Bidding,202309,137.6294070327
6,Bidding,202310,105.9903552892
6,Bidding,202311,94.1064982333
6,Bidding,202312,106.4773148664
6,Bidding,202401,191.4279397379
6,Bidding,202402,132.3038027609
6,Bidding,202403,126.8468451644
6,Bidding,202404,108.6848838078
6,Bidding,202405,113.6676418218
6,Bidding,202406,111.5456252388
6,Bidding,202407,82.0424741918
6,Bidding,202408,131.3235833742
6,Bidding,202409,111.6157540966
6,Bidding,202410,103.8667650347
6,Bidding,202411,82.4773662911
6,Bidding,202412,96.4354091631
6,Bidding,202501,101.9915008172
6,Bidding,202502,72.0308078964
6,Bidding,202503,108.1922477676
6,Bidding,202504,123.2787762505
6,Bidding,202505,108.6952920870
6,Bidding,202506,89.1360875429
6,Bidding,202507,119.7917754826
6,Bidding,202508,113.8032786108
6,Bidding,202509,110.2792845744
6,Bidding,202510,99.2629290885
6,Bidding,202511,113.4450957506
6,Bidding,202512,113.2926703026
6,Self-scheduling,202301,123.6711120395
6,Self-scheduling,202302,102.9533058569
6,Self-scheduling,202303,134.2742213184
6,Self-scheduling,202304,129.0029322754
6,Self-scheduling,202305,113.3405311601
6,Self-scheduling,202306,137.8952827717
6,Self-scheduling,202307,77.7062616122
6,Self-scheduling,202308,149.2866750478
6,Self-scheduling,202309,133.1725789681
6,Self-scheduling,202310,102.6413939089
6,Self-scheduling,202311,89.6210035016
6,Self-scheduling,202312,99.2235354722
6,Self-scheduling,202401,183.7565199929
6,Self-scheduling,202402,129.8254196862
6,Self-scheduling,202403,126.2858248969
6,Self-scheduling,202404,107.8123098057
6,Self-scheduling,202405,113.2455936796
6,Self-scheduling,202406,110.0398125761
6,Self-scheduling,202407,79.5798821352
6,Self-scheduling,202408,125.3341363337
6,Self-scheduling,202409,108.3427205769
6,Self-scheduling,202410,99.4116506872
6,Self-scheduling,202411,79.7564763300
6,Self-scheduling,202412,88.6013116564
6,Self-scheduling,202501,97.9746291674
6,Self-scheduling,202502,70.1444164565
6,Self-scheduling,202503,107.1595956078
6,Self-scheduling,202504,122.2910153844
6,Self-scheduling,202505,107.4135281273
6,Self-scheduling,202506,87.9914435191
6,Self-scheduling,202507,115.4307817488
6,Self-scheduling,202508,104.7236782777
6,Self-scheduling,202509,105.2595275321
6,Self-scheduling,202510,95.4734426996
6,Self-scheduling,202511,100.0756718306
6,Self-scheduling,202512,104.7256918887
8,Bidding,202301,127.2489710985
8,Bidding,202302,107.5313468045
8,Bidding,202303,135.6675320468
8,Bidding,202304,129.8131311670
8,Bidding,202305,112.8059530910
8,Bidding,202306,138.5959690843
8,Bidding,202307,78.5201755202
8,Bidding,202308,152.7849537263
8,Bidding,202309,136.3085453920
8,Bidding,202310,105.0382815266
8,Bidding,202311,91.7261304813
8,Bidding,202312,105.3185743505
8,Bidding,202401,188.1095546102
8,Bidding,202402,131.4935811489
8,Bidding,202403,126.5433151502
8,Bidding,202404,108.0366562622
8,Bidding,202405,113.4032969554
8,Bidding,202406,110.7637231532
8,Bidding,202407,81.0112926105
8,Bidding,202408,129.8714596397
8,Bidding,202409,110.4385640343
8,Bidding,202410,103.1148447186
8,Bidding,202411,81.3098543505
8,Bidding,202412,93.6244178877
8,Bidding,202501,100.0472178735
8,Bidding,202502,71.8082685116
8,Bidding,202503,107.8238491549
8,Bidding,202504,122.9750879494
8,Bidding,202505,108.1279143699
8,Bidding,202506,88.1787873310
8,Bidding,202507,118.4872472657
8,Bidding,202508,111.9452794055
8,Bidding,202509,109.1644282041
8,Bidding,202510,97.8100442488
8,Bidding,202511,110.8022459192
8,Bidding,202512,110.0174253258
8,Self-scheduling,202301,117.5833611604
8,Self-scheduling,202302,100.0696471162
8,Self-scheduling,202303,131.4148693699
8,Self-scheduling,202304,128.1404402262
8,Self-scheduling,202305,113.0255378745
8,Self-scheduling,202306,136.7422190172
8,Self-scheduling,202307,74.5525303638
8,Self-scheduling,202308,145.8690492062
8,Self-scheduling,202309,129.2534138821
8,Self-scheduling,202310,99.8706553900
8,Self-scheduling,202311,85.8247909401
8,Self-scheduling,202312,92.9101830168
8,Self-scheduling,202401,177.4389789701
8,Self-scheduling,202402,127.8419379567
8,Self-scheduling,202403,125.0568865887
8,Self-scheduling,202404,106.9931691172
8,Self-scheduling,202405,112.7283490331
8,Self-scheduling,202406,108.4075179640
8,Self-scheduling,202407,76.3208471307
8,Self-scheduling,202408,119.3706635352
8,Self-scheduling,202409,106.1203292982
8,Self-scheduling,202410,95.7249961461
8,Self-scheduling,202411,77.5162162349
8,Self-scheduling,202412,79.9650689222
8,Self-scheduling,202501,95.9149647491
8,Self-scheduling,202502,68.7743018400
