period_label,selected_months,hour,count_MC,count_CC,count_CD,count_NU,count_DC,count_DD,count_MD,state_rows_raw,state_rows_valid,state_rows_excluded_zero_limit,state_rows_excluded_nc,average_price_usd_per_mwh,ci90_lower_usd_per_mwh,ci90_upper_usd_per_mwh,daily_mean_sd_usd_per_mwh,n_days,five_minute_points_per_day_hour
Custom,2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12,0,22,1,5,131,1,36,165,366,361,5,0,41.29601985,39.67828216,42.91375755,18.76798802,366,12
Custom,2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12,1,54,4,15,180,0,25,83,366,361,5,0,38.82401632,37.24693556,40.40109708,18.29631150,366,12
Custom,2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12,2,118,11,19,147,1,14,51,366,361,5,0,37.28093840,35.70136483,38.86051197,18.32523149,366,12
Custom,2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12,3,123,9,22,150,4,16,37,366,361,5,0,37.20474765,35.52234371,38.88715159,19.51820554,366,12
Custom,2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12,4,90,9,17,151,4,28,62,366,361,5,0,38.13335744,36.41757860,39.84913629,19.90540048,366,12
Custom,2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12,5,35,5,8,127,7,28,151,366,361,5,0,40.92644795,39.18870794,42.66418795,20.16018025,366,12
Custom,2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12,6,28,7,2,85,5,14,220,366,361,5,0,44.33445094,42.14501956,46.52388232,25.40042300,366,12
Custom,2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12,7,138,63,2,59,3,7,89,366,361,5,0,34.29763053,31.75478243,36.84047863,29.50054429,366,12
Custom,2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12,8,293,15,1,19,2,5,26,366,361,5,0,22.82499887,19.91534052,25.73465723,33.75604903,366,12
Custom,2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12,9,334,1,0,9,1,0,16,366,361,5,0,18.83706923,15.10250863,22.57162983,43.32605253,366,12
Custom,2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12,10,340,4,1,9,0,1,6,366,361,5,0,14.74186052,12.09593791,17.38778313,30.69635079,366,12
Custom,2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12,11,350,0,1,7,0,0,3,366,361,5,0,13.03796646,10.73107529,15.34485763,26.76311855,366,12
Custom,2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12,12,343,2,0,9,0,1,6,366,361,5,0,11.93627940,9.59408081,14.27847799,27.17273332,366,12
Custom,2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12,13,325,3,1,19,0,1,12,366,361,5,0,12.01636149,9.55724179,14.47548119,28.52917944,366,12
Custom,2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12,14,305,1,1,28,1,4,21,366,361,5,0,12.77883530,10.18221630,15.37545430,30.12436089,366,12
Custom,2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12,15,259,13,3,41,2,6,37,366,361,5,0,18.39247683,15.74477856,21.04017510,30.71695084,366,12
Custom,2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12,16,199,7,4,60,1,10,80,366,361,5,0,26.52098909,23.65954400,29.38243419,33.19670879,366,12
Custom,2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12,17,88,31,2,53,0,10,177,366,361,5,0,36.68492676,33.99210834,39.37774518,31.24040678,366,12
Custom,2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12,18,7,7,2,92,2,17,234,366,361,5,0,45.34551748,42.08866666,48.60236829,37.78396033,366,12
Custom,2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12,19,2,0,2,45,2,20,290,366,361,5,0,51.61495549,46.99683873,56.23307225,53.57652238,366,12
Custom,2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12,20,6,0,1,49,0,9,296,366,361,5,0,47.11386717,45.17587725,49.05185708,22.48335531,366,12
Custom,2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12,21,2,1,0,42,2,19,295,366,361,5,0,47.10041087,44.87808051,49.32274123,25.78209655,366,12
Custom,2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12,22,14,0,3,70,1,23,250,366,361,5,0,44.28397102,42.54850582,46.01943621,20.13378934,366,12
Custom,2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12,23,36,4,6,106,1,23,185,366,361,5,0,41.69767613,40.13521454,43.26013773,18.12670897,366,12
