period_label,selected_months,hour,count_MC,count_CC,count_CD,count_NU,count_DC,count_DD,count_MD,state_rows_raw,state_rows_valid,state_rows_excluded_zero_limit,state_rows_excluded_nc,average_price_usd_per_mwh,ci90_lower_usd_per_mwh,ci90_upper_usd_per_mwh,daily_mean_sd_usd_per_mwh,n_days,five_minute_points_per_day_hour
Custom,2023-01;2024-01;2025-01;2023-02;2024-02;2025-02;2023-03;2024-03;2025-03;2023-04;2024-04;2025-04;2023-05;2024-05;2025-05;2023-06;2024-06;2025-06;2023-07;2024-07;2025-07;2023-08;2024-08;2025-08;2023-09;2024-09;2025-09;2023-10;2024-10;2025-10;2023-11;2024-11;2025-11;2023-12;2024-12;2025-12,0,86,6,24,376,4,96,497,1096,1089,7,0,47.85181955,46.68606597,49.01757313,23.44321670,1096,12
Custom,2023-01;2024-01;2025-01;2023-02;2024-02;2025-02;2023-03;2024-03;2025-03;2023-04;2024-04;2025-04;2023-05;2024-05;2025-05;2023-06;2024-06;2025-06;2023-07;2024-07;2025-07;2023-08;2024-08;2025-08;2023-09;2024-09;2025-09;2023-10;2024-10;2025-10;2023-11;2024-11;2025-11;2023-12;2024-12;2025-12,1,216,10,42,470,3,73,275,1096,1089,7,0,45.11708622,43.98611154,46.24806091,22.74381561,1096,12
Custom,2023-01;2024-01;2025-01;2023-02;2024-02;2025-02;2023-03;2024-03;2025-03;2023-04;2024-04;2025-04;2023-05;2024-05;2025-05;2023-06;2024-06;2025-06;2023-07;2024-07;2025-07;2023-08;2024-08;2025-08;2023-09;2024-09;2025-09;2023-10;2024-10;2025-10;2023-11;2024-11;2025-11;2023-12;2024-12;2025-12,2,329,21,54,475,3,48,159,1096,1089,7,0,43.70940957,42.56218904,44.85663009,23.07051832,1096,12
Custom,2023-01;2024-01;2025-01;2023-02;2024-02;2025-02;2023-03;2024-03;2025-03;2023-04;2024-04;2025-04;2023-05;2024-05;2025-05;2023-06;2024-06;2025-06;2023-07;2024-07;2025-07;2023-08;2024-08;2025-08;2023-09;2024-09;2025-09;2023-10;2024-10;2025-10;2023-11;2024-11;2025-11;2023-12;2024-12;2025-12,3,358,19,67,457,6,44,138,1096,1089,7,0,43.60454444,42.42414464,44.78494424,23.73775101,1096,12
Custom,2023-01;2024-01;2025-01;2023-02;2024-02;2025-02;2023-03;2024-03;2025-03;2023-04;2024-04;2025-04;2023-05;2024-05;2025-05;2023-06;2024-06;2025-06;2023-07;2024-07;2025-07;2023-08;2024-08;2025-08;2023-09;2024-09;2025-09;2023-10;2024-10;2025-10;2023-11;2024-11;2025-11;2023-12;2024-12;2025-12,4,277,15,51,471,16,61,198,1096,1089,7,0,44.78957734,43.55915346,46.02000121,24.74373139,1096,12
Custom,2023-01;2024-01;2025-01;2023-02;2024-02;2025-02;2023-03;2024-03;2025-03;2023-04;2024-04;2025-04;2023-05;2024-05;2025-05;2023-06;2024-06;2025-06;2023-07;2024-07;2025-07;2023-08;2024-08;2025-08;2023-09;2024-09;2025-09;2023-10;2024-10;2025-10;2023-11;2024-11;2025-11;2023-12;2024-12;2025-12,5,105,20,21,405,25,58,455,1096,1089,7,0,48.21366470,46.89030166,49.53702774,26.61273101,1096,12
Custom,2023-01;2024-01;2025-01;2023-02;2024-02;2025-02;2023-03;2024-03;2025-03;2023-04;2024-04;2025-04;2023-05;2024-05;2025-05;2023-06;2024-06;2025-06;2023-07;2024-07;2025-07;2023-08;2024-08;2025-08;2023-09;2024-09;2025-09;2023-10;2024-10;2025-10;2023-11;2024-11;2025-11;2023-12;2024-12;2025-12,6,109,24,10,253,17,46,630,1096,1089,7,0,52.74405988,50.95117345,54.53694631,36.05481097,1096,12
Custom,2023-01;2024-01;2025-01;2023-02;2024-02;2025-02;2023-03;2024-03;2025-03;2023-04;2024-04;2025-04;2023-05;2024-05;2025-05;2023-06;2024-06;2025-06;2023-07;2024-07;2025-07;2023-08;2024-08;2025-08;2023-09;2024-09;2025-09;2023-10;2024-10;2025-10;2023-11;2024-11;2025-11;2023-12;2024-12;2025-12,7,452,87,7,209,10,24,300,1096,1089,7,0,43.66429007,41.55420620,45.77437393,42.43362749,1096,12
Custom,2023-01;2024-01;2025-01;2023-02;2024-02;2025-02;2023-03;2024-03;2025-03;2023-04;2024-04;2025-04;2023-05;2024-05;2025-05;2023-06;2024-06;2025-06;2023-07;2024-07;2025-07;2023-08;2024-08;2025-08;2023-09;2024-09;2025-09;2023-10;2024-10;2025-10;2023-11;2024-11;2025-11;2023-12;2024-12;2025-12,8,852,47,3,100,2,12,73,1096,1089,7,0,29.58078226,27.75166142,31.40990310,36.78348227,1096,12
Custom,2023-01;2024-01;2025-01;2023-02;2024-02;2025-02;2023-03;2024-03;2025-03;2023-04;2024-04;2025-04;2023-05;2024-05;2025-05;2023-06;2024-06;2025-06;2023-07;2024-07;2025-07;2023-08;2024-08;2025-08;2023-09;2024-09;2025-09;2023-10;2024-10;2025-10;2023-11;2024-11;2025-11;2023-12;2024-12;2025-12,9,968,18,5,42,2,3,51,1096,1089,7,0,24.70316092,22.83463276,26.57168908,37.57596054,1096,12
