period_label,selected_months,hour,count_MC,count_CC,count_CD,count_NU,count_DC,count_DD,count_MD,state_rows_raw,state_rows_valid,state_rows_excluded_zero_limit,state_rows_excluded_nc,average_price_usd_per_mwh,ci90_lower_usd_per_mwh,ci90_upper_usd_per_mwh,daily_mean_sd_usd_per_mwh,n_days,five_minute_points_per_day_hour
Autumn,2023-09;2024-09;2025-09;2023-10;2024-10;2025-10;2023-11;2024-11;2025-11,0,26,2,7,112,1,27,97,273,272,1,0,46.85884626,45.75131270,47.96637981,11.08738876,273,12
Autumn,2023-09;2024-09;2025-09;2023-10;2024-10;2025-10;2023-11;2024-11;2025-11,1,60,7,14,126,0,14,51,273,272,1,0,44.43081816,43.41299068,45.44864563,10.18935167,273,12
Autumn,2023-09;2024-09;2025-09;2023-10;2024-10;2025-10;2023-11;2024-11;2025-11,2,93,6,20,125,2,4,22,273,272,1,0,42.89937843,41.90566667,43.89309018,9.94793208,273,12
Autumn,2023-09;2024-09;2025-09;2023-10;2024-10;2025-10;2023-11;2024-11;2025-11,3,106,7,18,117,2,6,16,273,272,1,0,42.66010526,41.64886010,43.67135042,10.12345686,273,12
Autumn,2023-09;2024-09;2025-09;2023-10;2024-10;2025-10;2023-11;2024-11;2025-11,4,81,5,11,119,6,14,36,273,272,1,0,43.84399768,42.73829215,44.94970320,11.06908857,273,12
Autumn,2023-09;2024-09;2025-09;2023-10;2024-10;2025-10;2023-11;2024-11;2025-11,5,31,4,8,110,5,17,97,273,272,1,0,46.85596145,45.62315134,48.08877155,12.34151760,273,12
Autumn,2023-09;2024-09;2025-09;2023-10;2024-10;2025-10;2023-11;2024-11;2025-11,6,10,2,3,57,6,14,180,273,272,1,0,53.90942888,51.70038087,56.11847688,22.11452095,273,12
Autumn,2023-09;2024-09;2025-09;2023-10;2024-10;2025-10;2023-11;2024-11;2025-11,7,62,15,3,84,3,7,98,273,272,1,0,47.44619216,44.58456133,50.30782298,28.64745118,273,12
Autumn,2023-09;2024-09;2025-09;2023-10;2024-10;2025-10;2023-11;2024-11;2025-11,8,213,11,0,32,0,0,16,273,272,1,0,29.07441419,27.40747798,30.74135040,16.68750325,273,12
Autumn,2023-09;2024-09;2025-09;2023-10;2024-10;2025-10;2023-11;2024-11;2025-11,9,240,7,2,13,0,1,9,273,272,1,0,24.21730491,22.68077730,25.75383251,15.38199796,273,12
Autumn,2023-09;2024-09;2025-09;2023-10;2024-10;2025-10;2023-11;2024-11;2025-11,10,245,6,1,12,0,1,7,273,272,1,0,23.78725722,22.23858858,25.33592586,15.50354047,273,12
Autumn,2023-09;2024-09;2025-09;2023-10;2024-10;2025-10;2023-11;2024-11;2025-11,11,249,7,0,10,0,2,4,273,272,1,0,23.71378960,22.16446226,25.26311694,15.51013461,273,12
Autumn,2023-09;2024-09;2025-09;2023-10;2024-10;2025-10;2023-11;2024-11;2025-11,12,252,2,0,13,1,1,3,273,272,1,0,23.68305878,22.06756955,25.29854801,16.17247354,273,12
Autumn,2023-09;2024-09;2025-09;2023-10;2024-10;2025-10;2023-11;2024-11;2025-11,13,242,5,1,19,0,0,5,273,272,1,0,23.44527756,21.59502502,25.29553010,18.52266158,273,12
Autumn,2023-09;2024-09;2025-09;2023-10;2024-10;2025-10;2023-11;2024-11;2025-11,14,225,8,1,22,0,3,13,273,272,1,0,24.09929418,22.08561056,26.11297781,20.15875103,273,12
Autumn,2023-09;2024-09;2025-09;2023-10;2024-10;2025-10;2023-11;2024-11;2025-11,15,167,13,2,47,1,3,39,273,272,1,0,31.08663609,28.99214392,33.18112826,20.96771590,273,12
Autumn,2023-09;2024-09;2025-09;2023-10;2024-10;2025-10;2023-11;2024-11;2025-11,16,119,8,4,49,1,7,84,273,272,1,0,39.40777595,37.27175807,41.54379384,21.38342499,273,12
Autumn,2023-09;2024-09;2025-09;2023-10;2024-10;2025-10;2023-11;2024-11;2025-11,17,11,5,4,56,1,11,184,273,272,1,0,54.17811884,52.11655765,56.23968002,20.63804764,273,12
Autumn,2023-09;2024-09;2025-09;2023-10;2024-10;2025-10;2023-11;2024-11;2025-11,18,7,1,3,54,3,11,193,273,272,1,0,54.16392251,52.43378748,55.89405754,17.32017923,273,12
Autumn,2023-09;2024-09;2025-09;2023-10;2024-10;2025-10;2023-11;2024-11;2025-11,19,9,1,1,49,0,22,190,273,272,1,0,52.65936413,50.49312090,54.82560735,21.68600730,273,12
Autumn,2023-09;2024-09;2025-09;2023-10;2024-10;2025-10;2023-11;2024-11;2025-11,20,9,0,1,64,0,9,189,273,272,1,0,52.43054635,50.75652470,54.10456800,16.75843471,273,12
Autumn,2023-09;2024-09;2025-09;2023-10;2024-10;2025-10;2023-11;2024-11;2025-11,21,4,0,1,42,0,15,210,273,272,1,0,53.28452293,51.69728443,54.87176142,15.88965872,273,12
Autumn,2023-09;2024-09;2025-09;2023-10;2024-10;2025-10;2023-11;2024-11;2025-11,22,10,2,2,66,0,18,174,273,272,1,0,51.02786019,49.60927769,52.44644269,14.20126330,273,12
Autumn,2023-09;2024-09;2025-09;2023-10;2024-10;2025-10;2023-11;2024-11;2025-11,23,31,4,6,107,0,22,102,273,272,1,0,47.41253176,46.23294164,48.59212188,11.80873858,273,12
