period_label,selected_months,hour,count_MC,count_CC,count_CD,count_NU,count_DC,count_DD,count_MD,state_rows_raw,state_rows_valid,state_rows_excluded_zero_limit,state_rows_excluded_nc,average_price_usd_per_mwh,ci90_lower_usd_per_mwh,ci90_upper_usd_per_mwh,daily_mean_sd_usd_per_mwh,n_days,five_minute_points_per_day_hour
Spring,2023-03;2024-03;2025-03;2023-04;2024-04;2025-04;2023-05;2024-05;2025-05,0,13,1,1,54,1,26,177,276,273,3,0,41.85388386,39.81525555,43.89251217,20.52106247,276,12
Spring,2023-03;2024-03;2025-03;2023-04;2024-04;2025-04;2023-05;2024-05;2025-05,1,45,0,9,85,0,32,102,276,273,3,0,38.73274205,36.82560333,40.63988078,19.19747349,276,12
Spring,2023-03;2024-03;2025-03;2023-04;2024-04;2025-04;2023-05;2024-05;2025-05,2,70,0,12,105,0,16,70,276,273,3,0,37.19905365,35.27057088,39.12753641,19.41232496,276,12
Spring,2023-03;2024-03;2025-03;2023-04;2024-04;2025-04;2023-05;2024-05;2025-05,3,77,1,17,96,1,24,57,276,273,3,0,37.03461114,35.03701818,39.03220411,20.10799606,276,12
Spring,2023-03;2024-03;2025-03;2023-04;2024-04;2025-04;2023-05;2024-05;2025-05,4,58,2,5,98,6,21,83,276,273,3,0,38.54365830,36.49041277,40.59690383,20.66820102,276,12
Spring,2023-03;2024-03;2025-03;2023-04;2024-04;2025-04;2023-05;2024-05;2025-05,5,16,4,5,78,8,18,144,276,273,3,0,42.67533128,40.18307287,45.16758969,25.08735418,276,12
Spring,2023-03;2024-03;2025-03;2023-04;2024-04;2025-04;2023-05;2024-05;2025-05,6,23,10,2,51,3,13,171,276,273,3,0,47.25514136,43.24233887,51.26794385,40.39332241,276,12
Spring,2023-03;2024-03;2025-03;2023-04;2024-04;2025-04;2023-05;2024-05;2025-05,7,126,45,0,33,3,5,61,276,273,3,0,30.98884616,27.52004333,34.45764899,34.91736048,276,12
Spring,2023-03;2024-03;2025-03;2023-04;2024-04;2025-04;2023-05;2024-05;2025-05,8,213,14,0,20,2,4,20,276,273,3,0,15.83465018,12.61016999,19.05913038,32.45798124,276,12
Spring,2023-03;2024-03;2025-03;2023-04;2024-04;2025-04;2023-05;2024-05;2025-05,9,243,4,0,12,2,1,11,276,273,3,0,9.68354161,5.75246610,13.61461711,39.57064938,276,12
Spring,2023-03;2024-03;2025-03;2023-04;2024-04;2025-04;2023-05;2024-05;2025-05,10,262,1,0,5,0,1,4,276,273,3,0,2.50561198,-1.40841075,6.41963472,39.39899422,276,12
Spring,2023-03;2024-03;2025-03;2023-04;2024-04;2025-04;2023-05;2024-05;2025-05,11,267,2,0,2,1,0,1,276,273,3,0,-2.69127901,-4.84403095,-0.53852708,21.66984374,276,12
Spring,2023-03;2024-03;2025-03;2023-04;2024-04;2025-04;2023-05;2024-05;2025-05,12,270,0,0,1,0,1,1,276,273,3,0,-4.87551245,-7.09149945,-2.65952544,22.30637509,276,12
Spring,2023-03;2024-03;2025-03;2023-04;2024-04;2025-04;2023-05;2024-05;2025-05,13,269,0,0,2,0,0,2,276,273,3,0,-5.90097869,-8.23703564,-3.56492175,23.51501261,276,12
Spring,2023-03;2024-03;2025-03;2023-04;2024-04;2025-04;2023-05;2024-05;2025-05,14,268,0,0,1,0,0,4,276,273,3,0,-6.29483752,-8.76291573,-3.82675931,24.84395359,276,12
Spring,2023-03;2024-03;2025-03;2023-04;2024-04;2025-04;2023-05;2024-05;2025-05,15,264,0,0,5,0,1,3,276,273,3,0,-3.28831753,-5.73842356,-0.83821149,24.66304361,276,12
Spring,2023-03;2024-03;2025-03;2023-04;2024-04;2025-04;2023-05;2024-05;2025-05,16,245,7,3,12,0,1,5,276,273,3,0,2.13581941,-0.39702870,4.66866753,25.49593478,276,12
Spring,2023-03;2024-03;2025-03;2023-04;2024-04;2025-04;2023-05;2024-05;2025-05,17,187,20,1,24,1,5,35,276,273,3,0,17.56133332,14.91254699,20.21011965,26.66298191,276,12
Spring,2023-03;2024-03;2025-03;2023-04;2024-04;2025-04;2023-05;2024-05;2025-05,18,21,17,2,78,0,16,139,276,273,3,0,40.89371562,38.56466547,43.22276578,23.44448151,276,12
Spring,2023-03;2024-03;2025-03;2023-04;2024-04;2025-04;2023-05;2024-05;2025-05,19,2,0,2,28,0,12,229,276,273,3,0,51.61951238,46.97607380,56.26295096,46.74137638,276,12
Spring,2023-03;2024-03;2025-03;2023-04;2024-04;2025-04;2023-05;2024-05;2025-05,20,2,0,2,33,0,12,224,276,273,3,0,47.29479975,45.04583169,49.54376782,22.63836614,276,12
Spring,2023-03;2024-03;2025-03;2023-04;2024-04;2025-04;2023-05;2024-05;2025-05,21,1,1,1,20,0,10,240,276,273,3,0,47.48019977,45.14464179,49.81575775,23.50998997,276,12
Spring,2023-03;2024-03;2025-03;2023-04;2024-04;2025-04;2023-05;2024-05;2025-05,22,10,1,3,32,0,6,221,276,273,3,0,46.69339984,43.62324860,49.76355108,30.90448858,276,12
Spring,2023-03;2024-03;2025-03;2023-04;2024-04;2025-04;2023-05;2024-05;2025-05,23,24,0,3,60,0,5,181,276,273,3,0,41.92701575,39.85466549,43.99936602,20.86051149,276,12
