period_label,selected_months,hour,count_MC,count_CC,count_CD,count_NU,count_DC,count_DD,count_MD,state_rows_raw,state_rows_valid,state_rows_excluded_zero_limit,state_rows_excluded_nc,average_price_usd_per_mwh,ci90_lower_usd_per_mwh,ci90_upper_usd_per_mwh,daily_mean_sd_usd_per_mwh,n_days,five_minute_points_per_day_hour
Summer,2023-06;2024-06;2025-06;2023-07;2024-07;2025-07;2023-08;2024-08;2025-08,0,11,1,5,74,1,27,155,276,274,2,0,42.13851526,40.91187929,43.36515124,12.34745604,276,12
Summer,2023-06;2024-06;2025-06;2023-07;2024-07;2025-07;2023-08;2024-08;2025-08,1,41,1,7,123,1,15,86,276,274,2,0,38.68829246,37.67599680,39.70058813,10.18988234,276,12
Summer,2023-06;2024-06;2025-06;2023-07;2024-07;2025-07;2023-08;2024-08;2025-08,2,73,8,6,127,1,21,38,276,274,2,0,36.87154131,35.92624632,37.81683631,9.51544604,276,12
Summer,2023-06;2024-06;2025-06;2023-07;2024-07;2025-07;2023-08;2024-08;2025-08,3,87,8,12,127,1,7,32,276,274,2,0,36.36139468,35.42826157,37.29452779,9.39302311,276,12
Summer,2023-06;2024-06;2025-06;2023-07;2024-07;2025-07;2023-08;2024-08;2025-08,4,78,3,19,121,3,13,37,276,274,2,0,36.65207172,35.72818656,37.57595687,9.29993213,276,12
Summer,2023-06;2024-06;2025-06;2023-07;2024-07;2025-07;2023-08;2024-08;2025-08,5,40,9,2,113,5,11,94,276,274,2,0,39.29131179,38.23023057,40.35239301,10.68096318,276,12
Summer,2023-06;2024-06;2025-06;2023-07;2024-07;2025-07;2023-08;2024-08;2025-08,6,70,9,4,87,3,11,90,276,274,2,0,38.35795432,37.08849639,39.62741225,12.77850671,276,12
Summer,2023-06;2024-06;2025-06;2023-07;2024-07;2025-07;2023-08;2024-08;2025-08,7,235,9,3,17,0,3,7,276,274,2,0,26.51443210,25.00147333,28.02739087,15.22961359,276,12
Summer,2023-06;2024-06;2025-06;2023-07;2024-07;2025-07;2023-08;2024-08;2025-08,8,259,1,1,9,0,1,3,276,274,2,0,22.09672588,20.55172371,23.64172806,15.55216614,276,12
Summer,2023-06;2024-06;2025-06;2023-07;2024-07;2025-07;2023-08;2024-08;2025-08,9,268,0,1,3,0,0,2,276,274,2,0,21.59181853,20.06453260,23.11910446,15.37383240,276,12
Summer,2023-06;2024-06;2025-06;2023-07;2024-07;2025-07;2023-08;2024-08;2025-08,10,266,1,1,4,0,1,1,276,274,2,0,22.30699347,20.76008694,23.85390000,15.57133553,276,12
Summer,2023-06;2024-06;2025-06;2023-07;2024-07;2025-07;2023-08;2024-08;2025-08,11,262,1,2,8,0,0,1,276,274,2,0,23.02073216,21.38037961,24.66108471,16.51197370,276,12
Summer,2023-06;2024-06;2025-06;2023-07;2024-07;2025-07;2023-08;2024-08;2025-08,12,244,3,4,12,0,1,10,276,274,2,0,24.48089089,22.59807948,26.36370231,18.95259204,276,12
Summer,2023-06;2024-06;2025-06;2023-07;2024-07;2025-07;2023-08;2024-08;2025-08,13,217,0,4,23,0,1,29,276,274,2,0,27.09068170,24.91369214,29.26767126,21.91382242,276,12
Summer,2023-06;2024-06;2025-06;2023-07;2024-07;2025-07;2023-08;2024-08;2025-08,14,200,0,2,27,1,5,39,276,274,2,0,29.31068552,26.88175225,31.73961878,24.44991616,276,12
Summer,2023-06;2024-06;2025-06;2023-07;2024-07;2025-07;2023-08;2024-08;2025-08,15,172,5,3,38,1,5,50,276,274,2,0,33.41658998,29.63834505,37.19483492,38.03223959,276,12
Summer,2023-06;2024-06;2025-06;2023-07;2024-07;2025-07;2023-08;2024-08;2025-08,16,182,4,5,35,0,8,40,276,274,2,0,34.94143905,29.12672236,40.75615574,58.53159392,276,12
Summer,2023-06;2024-06;2025-06;2023-07;2024-07;2025-07;2023-08;2024-08;2025-08,17,121,19,3,53,0,8,70,276,274,2,0,36.41262235,34.14038087,38.68486383,22.87263897,276,12
Summer,2023-06;2024-06;2025-06;2023-07;2024-07;2025-07;2023-08;2024-08;2025-08,18,23,3,4,58,0,16,170,276,274,2,0,46.54737850,42.50183583,50.59292116,40.72288870,276,12
Summer,2023-06;2024-06;2025-06;2023-07;2024-07;2025-07;2023-08;2024-08;2025-08,19,3,1,0,13,0,6,251,276,274,2,0,62.55040082,55.04443881,70.05636283,75.55586005,276,12
Summer,2023-06;2024-06;2025-06;2023-07;2024-07;2025-07;2023-08;2024-08;2025-08,20,3,0,0,29,0,8,234,276,274,2,0,51.67845504,48.78709948,54.56981059,29.10471105,276,12
Summer,2023-06;2024-06;2025-06;2023-07;2024-07;2025-07;2023-08;2024-08;2025-08,21,1,0,0,23,0,10,240,276,274,2,0,48.89337135,46.37488870,51.41185400,25.35133033,276,12
Summer,2023-06;2024-06;2025-06;2023-07;2024-07;2025-07;2023-08;2024-08;2025-08,22,6,0,0,27,0,11,230,276,274,2,0,46.03899834,44.55241240,47.52558428,14.96414172,276,12
Summer,2023-06;2024-06;2025-06;2023-07;2024-07;2025-07;2023-08;2024-08;2025-08,23,20,0,2,60,1,14,177,276,274,2,0,42.64056702,41.40760811,43.87352593,12.41110340,276,12
