period_label,selected_months,hour,count_MC,count_CC,count_CD,count_NU,count_DC,count_DD,count_MD,state_rows_raw,state_rows_valid,state_rows_excluded_zero_limit,state_rows_excluded_nc,average_price_usd_per_mwh,ci90_lower_usd_per_mwh,ci90_upper_usd_per_mwh,daily_mean_sd_usd_per_mwh,n_days,five_minute_points_per_day_hour
Winter,2023-01;2024-01;2025-01;2023-02;2024-02;2025-02;2023-12;2024-12;2025-12,0,36,2,11,136,1,16,68,271,270,1,0,60.77943557,57.18962682,64.36924432,35.80436879,271,12
Winter,2023-01;2024-01;2025-01;2023-02;2024-02;2025-02;2023-12;2024-12;2025-12,1,70,2,12,136,2,12,36,271,270,1,0,58.85796169,55.32987973,62.38604365,35.18871239,271,12
Winter,2023-01;2024-01;2025-01;2023-02;2024-02;2025-02;2023-12;2024-12;2025-12,2,93,7,16,118,0,7,29,271,270,1,0,58.11992018,54.52918375,61.71065660,35.81362135,271,12
Winter,2023-01;2024-01;2025-01;2023-02;2024-02;2025-02;2023-12;2024-12;2025-12,3,88,3,20,117,2,7,33,271,270,1,0,58.62389065,54.93290710,62.31487419,36.81347538,271,12
Winter,2023-01;2024-01;2025-01;2023-02;2024-02;2025-02;2023-12;2024-12;2025-12,4,60,5,16,133,1,13,42,271,270,1,0,60.39093694,56.52905233,64.25282154,38.51802428,271,12
Winter,2023-01;2024-01;2025-01;2023-02;2024-02;2025-02;2023-12;2024-12;2025-12,5,18,3,6,104,7,12,120,271,270,1,0,64.30887655,60.31471007,68.30304302,39.83738949,271,12
Winter,2023-01;2024-01;2025-01;2023-02;2024-02;2025-02;2023-12;2024-12;2025-12,6,6,3,1,58,5,8,189,271,270,1,0,71.81181231,66.95916765,76.66445697,48.39975919,271,12
Winter,2023-01;2024-01;2025-01;2023-02;2024-02;2025-02;2023-12;2024-12;2025-12,7,29,18,1,75,4,9,134,271,270,1,0,70.23006146,64.04139615,76.41872677,61.72508636,271,12
Winter,2023-01;2024-01;2025-01;2023-02;2024-02;2025-02;2023-12;2024-12;2025-12,8,167,21,2,39,0,7,34,271,270,1,0,51.71277671,46.09003000,57.33552343,56.08067477,271,12
Winter,2023-01;2024-01;2025-01;2023-02;2024-02;2025-02;2023-12;2024-12;2025-12,9,217,7,2,14,0,1,29,271,270,1,0,43.65808387,38.12006398,49.19610375,55.23561837,271,12
Winter,2023-01;2024-01;2025-01;2023-02;2024-02;2025-02;2023-12;2024-12;2025-12,10,229,2,1,19,0,1,18,271,270,1,0,37.58704825,33.40237171,41.77172478,41.73751647,271,12
Winter,2023-01;2024-01;2025-01;2023-02;2024-02;2025-02;2023-12;2024-12;2025-12,11,243,0,2,15,0,1,9,271,270,1,0,32.99828971,29.39808784,36.59849158,35.90802865,271,12
Winter,2023-01;2024-01;2025-01;2023-02;2024-02;2025-02;2023-12;2024-12;2025-12,12,242,0,2,14,0,3,9,271,270,1,0,30.01182475,26.44249286,33.58115663,35.60013471,271,12
Winter,2023-01;2024-01;2025-01;2023-02;2024-02;2025-02;2023-12;2024-12;2025-12,13,238,2,0,16,0,1,13,271,270,1,0,28.34958500,24.56383642,32.13533358,37.75865170,271,12
Winter,2023-01;2024-01;2025-01;2023-02;2024-02;2025-02;2023-12;2024-12;2025-12,14,231,2,1,15,0,2,19,271,270,1,0,29.15328726,25.09938748,33.20718704,40.43316311,271,12
Winter,2023-01;2024-01;2025-01;2023-02;2024-02;2025-02;2023-12;2024-12;2025-12,15,166,15,2,46,0,4,37,271,270,1,0,40.87007208,36.88420256,44.85594160,39.75463657,271,12
Winter,2023-01;2024-01;2025-01;2023-02;2024-02;2025-02;2023-12;2024-12;2025-12,16,33,8,4,90,1,16,118,271,270,1,0,61.11238246,57.39348045,64.83128447,37.09193120,271,12
Winter,2023-01;2024-01;2025-01;2023-02;2024-02;2025-02;2023-12;2024-12;2025-12,17,2,0,1,48,0,10,209,271,270,1,0,67.43805541,63.70894276,71.16716806,37.19377098,271,12
Winter,2023-01;2024-01;2025-01;2023-02;2024-02;2025-02;2023-12;2024-12;2025-12,18,4,0,2,64,0,16,184,271,270,1,0,66.51353676,62.74412681,70.28294672,37.59569199,271,12
Winter,2023-01;2024-01;2025-01;2023-02;2024-02;2025-02;2023-12;2024-12;2025-12,19,1,0,1,67,3,10,188,271,270,1,0,66.73758019,62.93272333,70.54243706,37.94923567,271,12
Winter,2023-01;2024-01;2025-01;2023-02;2024-02;2025-02;2023-12;2024-12;2025-12,20,3,0,2,44,1,9,211,271,270,1,0,67.85798905,63.92760273,71.78837537,39.20125305,271,12
Winter,2023-01;2024-01;2025-01;2023-02;2024-02;2025-02;2023-12;2024-12;2025-12,21,1,0,0,63,3,15,188,271,270,1,0,67.42001530,63.58243346,71.25759713,38.27563104,271,12
Winter,2023-01;2024-01;2025-01;2023-02;2024-02;2025-02;2023-12;2024-12;2025-12,22,16,0,3,91,1,16,143,271,270,1,0,64.29713757,60.57199194,68.02228321,37.15420444,271,12
Winter,2023-01;2024-01;2025-01;2023-02;2024-02;2025-02;2023-12;2024-12;2025-12,23,56,1,7,130,0,19,57,271,270,1,0,59.58736266,56.18767471,62.98705062,33.90812428,271,12
