hour,count_MC,count_CC,count_CD,count_NU,count_DC,count_DD,count_MD,average_price_usd_per_mwh,ci90_lower_usd_per_mwh,ci90_upper_usd_per_mwh,daily_mean_sd_usd_per_mwh,n_days,five_minute_points_per_day_hour
0,0,0,0,4,0,0,27,38.48777840,34.94352920,42.03202760,11.62670073,31,12
1,1,0,0,5,0,2,23,36.28273935,32.84245531,39.72302339,11.28564914,31,12
2,1,0,1,11,0,8,10,32.93242602,30.71141699,35.15343505,7.28588930,31,12
3,3,0,0,13,1,1,13,32.59858528,30.24607611,34.95109445,7.71726776,31,12
4,1,0,1,8,0,4,17,33.53071788,31.27315391,35.78828185,7.40580563,31,12
5,0,0,1,18,0,0,12,32.33394997,29.88033022,34.78756971,8.04895504,31,12
6,2,1,0,21,0,2,5,30.29395111,27.71887476,32.86902746,8.44738629,31,12
7,11,5,0,12,0,0,3,16.42516203,12.95527916,19.89504490,11.38274636,31,12
8,22,4,0,3,1,0,1,11.42700533,7.76889304,15.08511763,12.00022190,31,12
9,29,1,0,1,0,0,0,8.12771532,4.83732812,11.41810252,10.79392141,31,12
10,31,0,0,0,0,0,0,6.07498388,2.46689255,9.68307522,11.83613109,31,12
11,30,0,0,1,0,0,0,4.87106383,0.94353561,8.79859204,12.88402497,31,12
12,28,1,0,2,0,0,0,4.91317341,0.83618375,8.99016307,13.37432442,31,12
13,27,1,0,3,0,0,0,4.23835050,0.00173961,8.47496139,13.89795246,31,12
14,29,0,0,2,0,0,0,5.81231434,1.47336543,10.15126325,14.23366632,31,12
15,23,2,0,5,1,0,0,8.15393643,3.62149882,12.68637404,14.86839459,31,12
16,22,1,0,8,0,0,0,9.72759329,4.87593472,14.57925186,15.91558017,31,12
17,18,3,0,7,0,1,2,16.34663822,11.84467513,20.84860131,14.76842474,31,12
18,3,1,0,12,0,2,13,33.72371234,30.06832897,37.37909571,11.99126982,31,12
19,0,0,0,4,0,0,27,39.50104413,35.79119147,43.21089678,12.16995311,31,12
20,0,0,0,7,0,1,23,38.49178443,35.27946049,41.70410838,10.53783949,31,12
21,0,0,2,3,0,4,22,39.03167276,35.00680290,43.05654261,13.20334848,31,12
22,0,0,0,6,0,0,25,41.26655748,35.91686799,46.61624696,17.54934123,31,12
23,0,0,0,4,0,0,27,39.88123401,35.68186360,44.08060442,13.77578728,31,12
