STARTTIME,STOPTIME,STARTTIME_GMT,STOPTIME_GMT,STARTDATE,MARKET_RUN_ID,RESOURCE_TYPE,SCHEDULINGCOORDINATOR_SEQ,RESOURCEBID_SEQ,TIMEINTERVALSTART,TIMEINTERVALEND,TIMEINTERVALSTART_GMT,TIMEINTERVALEND_GMT,PRODUCTBID_DESC,PRODUCTBID_MRID,MARKETPRODUCT_DESC,MARKETPRODUCTTYPE,GHG_AREA,SELFSCHEDMW,SCH_BID_TIMEINTERVALSTART,SCH_BID_TIMEINTERVALSTOP,SCH_BID_TIMEINTERVALSTART_GMT,SCH_BID_TIMEINTERVALSTOP_GMT,SCH_BID_XAXISDATA,SCH_BID_Y1AXISDATA,SCH_BID_Y2AXISDATA,SCH_BID_CURVETYPE,MINEOHSTATEOFCHARGE,MAXEOHSTATEOFCHARGE
2025-04-08T08:00:00,2025-04-08T09:00:00,2025-04-08T15:00:00-00:00,2025-04-08T16:00:00-00:00,2025-04-08 00:00:00.0,DAM,GENERATOR,784654,121075,,,,,,,,EN,,,2025-04-08T08:00:00,2025-04-08T09:00:00,2025-04-08T15:00:00-00:00,2025-04-08T16:00:00-00:00,10.81,1000,,BIDPRICE,,
2025-04-08T08:00:00,2025-04-08T09:00:00,2025-04-08T15:00:00-00:00,2025-04-08T16:00:00-00:00,2025-04-08 00:00:00.0,DAM,GENERATOR,784654,121075,,,,,,,,EN,,,2025-04-08T08:00:00,2025-04-08T09:00:00,2025-04-08T15:00:00-00:00,2025-04-08T16:00:00-00:00,100,1000,,BIDPRICE,,
2025-04-08T09:00:00,2025-04-08T10:00:00,2025-04-08T16:00:00-00:00,2025-04-08T17:00:00-00:00,2025-04-08 00:00:00.0,DAM,GENERATOR,784654,121075,,,,,,,,EN,,,2025-04-08T09:00:00,2025-04-08T10:00:00,2025-04-08T16:00:00-00:00,2025-04-08T17:00:00-00:00,-100,-102.03,,BIDPRICE,,
2025-04-08T09:00:00,2025-04-08T10:00:00,2025-04-08T16:00:00-00:00,2025-04-08T17:00:00-00:00,2025-04-08 00:00:00.0,DAM,GENERATOR,784654,121075,,,,,,,,EN,,,2025-04-08T09:00:00,2025-04-08T10:00:00,2025-04-08T16:00:00-00:00,2025-04-08T17:00:00-00:00,0,-40.75,,BIDPRICE,,
2025-04-08T09:00:00,2025-04-08T10:00:00,2025-04-08T16:00:00-00:00,2025-04-08T17:00:00-00:00,2025-04-08 00:00:00.0,DAM,GENERATOR,784654,121075,,,,,,,,EN,,,2025-04-08T09:00:00,2025-04-08T10:00:00,2025-04-08T16:00:00-00:00,2025-04-08T17:00:00-00:00,3.48,1000,,BIDPRICE,,
2025-04-08T09:00:00,2025-04-08T10:00:00,2025-04-08T16:00:00-00:00,2025-04-08T17:00:00-00:00,2025-04-08 00:00:00.0,DAM,GENERATOR,784654,121075,,,,,,,,EN,,,2025-04-08T09:00:00,2025-04-08T10:00:00,2025-04-08T16:00:00-00:00,2025-04-08T17:00:00-00:00,100,1000,,BIDPRICE,,
2025-04-08T10:00:00,2025-04-08T11:00:00,2025-04-08T17:00:00-00:00,2025-04-08T18:00:00-00:00,2025-04-08 00:00:00.0,DAM,GENERATOR,784654,121075,,,,,,,,EN,,,2025-04-08T10:00:00,2025-04-08T11:00:00,2025-04-08T17:00:00-00:00,2025-04-08T18:00:00-00:00,-100,-102.03,,BIDPRICE,,
2025-04-08T10:00:00,2025-04-08T11:00:00,2025-04-08T17:00:00-00:00,2025-04-08T18:00:00-00:00,2025-04-08 00:00:00.0,DAM,GENERATOR,784654,121075,,,,,,,,EN,,,2025-04-08T10:00:00,2025-04-08T11:00:00,2025-04-08T17:00:00-00:00,2025-04-08T18:00:00-00:00,0,-89.69,,BIDPRICE,,
2025-04-08T10:00:00,2025-04-08T11:00:00,2025-04-08T17:00:00-00:00,2025-04-08T18:00:00-00:00,2025-04-08 00:00:00.0,DAM,GENERATOR,784654,121075,,,,,,,,EN,,,2025-04-08T10:00:00,2025-04-08T11:00:00,2025-04-08T17:00:00-00:00,2025-04-08T18:00:00-00:00,3.07,1000,,BIDPRICE,,
2025-04-08T10:00:00,2025-04-08T11:00:00,2025-04-08T17:00:00-00:00,2025-04-08T18:00:00-00:00,2025-04-08 00:00:00.0,DAM,GENERATOR,784654,121075,,,,,,,,EN,,,2025-04-08T10:00:00,2025-04-08T11:00:00,2025-04-08T17:00:00-00:00,2025-04-08T18:00:00-00:00,100,1000,,BIDPRICE,,
