"State","Date","Hour","Gross Load (MW)","Steam Load (1000 lb/hr)","SO2 Mass (lbs)","CO2 Mass (short tons)","NOx Mass (lbs)","Heat Input (mmBtu)"
"CA","2024-01-01",0,12440,,52.456,5246.522,628.039,88228.21
"CA","2024-01-01",1,11908,,49.952,5040.142,536.232,84078.29
"CA","2024-01-01",2,11543,,48.76,4894.841,507.494,82059.829
"CA","2024-01-01",3,11218,,47.689,4790.944,504.877,79949.308
"CA","2024-01-01",4,11128,,47.487,4766.4,507.254,79719.3
"CA","2024-01-01",5,11009,,47.097,4719.6,485.013,78913.4
"CA","2024-01-01",6,11148,,47.725,4776.824,498.418,79881.74
"CA","2024-01-01",7,10614,,44.395,4455.305,497.182,74464.824
"CA","2024-01-01",8,7940,,33.963,3418.172,415.979,56989.132
"CA","2024-01-01",9,6707,,28.148,2838.431,333.442,47222.303
"CA","2024-01-01",10,5924,,26.294,2672.2,286.72,44422.6
"CA","2024-01-01",11,5884,,26.028,2643.2,282.232,43941
"CA","2024-01-01",12,5782,,25.751,2615.225,359.682,43469.75
"CA","2024-01-01",13,5596,,25.201,2561.442,340.054,42567.801
"CA","2024-01-01",14,6032,,27.217,2751.813,411.11,45771.909
"CA","2024-01-01",15,7385,,33.485,3441.68,612.493,56200.148
"CA","2024-01-01",16,10993,,47.642,4843.234,733.475,79960.397
"CA","2024-01-01",17,12372,,53.64,5326.044,681.879,89957.5
"CA","2024-01-01",18,12685,,54.586,5391.844,579.501,91355.2
"CA","2024-01-01",19,12728,,54.671,5398.444,577.952,91489.8
"CA","2024-01-01",20,12812,,54.907,5422.572,739.356,91919.588
"CA","2024-01-01",21,12814,,55.154,5451.344,609.386,92378.5
"CA","2024-01-01",22,12558,,53.795,5313.574,577.647,90034.846
"CA","2024-01-01",23,11692,,50.035,4975.358,546.938,83762.819
"CA","2024-01-02",0,12145,,51.588,5128.117,615.95,86348.794
"CA","2024-01-02",1,11980,,51.294,5105.514,551.719,85971.1
