year_month,k,total_profit,total_profit_actual,total_cost,total_cost_actual,total_cost_withoutESS,total_carbon,total_carbon_actual,total_carbon_withoutESS,total_absorbed,total_natural_gas,rate_gas,carbon_reduce,rate_carbon,skipped_gas_dates
202301,0.2,28190626.81935393,22266452.89366512,1254532719.210843,1257332709.989278,1270025465.937823,2701198.2332270774,2707228.48842561,2734615.8457013103,25823.433333333334,7744607.333333333,0.0033343760660643784,6030.255198532715,0.002227464443549651,
202302,0.2,13433424.669957642,10989143.38190093,424396971.76532286,426580341.0233448,426224898.015775,2326651.6990662613,2338661.8026878256,2336967.362200715,37514.41873333334,6667347.083333333,0.005626588546306494,12010.10362156434,0.005135459777793061,
202303,0.2,23797480.850712918,18649127.023325022,300240469.28320533,303395237.0922198,302947966.91085607,2166024.29744518,2188873.316237519,2186034.807722465,69172.01916666667,6311476.333333334,0.010959720913685857,22849.018792339135,0.01043871229222831,20230312
202304,0.2,28745326.989445794,22784344.98188084,174889674.31256974,177662937.27712047,178969330.96832362,1804473.949397185,1833190.5956888422,1847185.5990676251,86833.39580000003,5396472.833333334,0.016090768633845624,28716.64629165735,0.015664844866208113,
202305,0.2,15236172.517307244,12421008.650421612,74866948.77492915,76291126.0109824,76763340.88149782,1153327.5597696872,1175223.5682954523,1183697.8512677366,73962.73443333333,3573361.833333333,0.020698361342360562,21896.008525765035,0.018631355868333265,
202306,0.2,13167380.736616602,10292403.848168086,106173083.16941537,108049998.06868882,108931464.52421409,1596858.7689078324,1625199.9387793636,1639747.4515849263,88555.09186666667,4759889.5,0.018604442785208914,28341.169871531194,0.017438574291860576,
202307,0.2,21925756.313141454,18915647.31590507,373845728.7977708,375124912.8761401,379809891.146765,3748617.6660303553,3761418.624778374,3807995.2434663796,34298.95,10171872.75,0.003371940530813266,12800.958748018835,0.003403226289063499,
202308,0.2,15387642.000328634,11738534.470382264,391787024.725606,393274168.4998949,399032250.1341566,3662118.485623096,3675991.3057356053,3729170.818626371,39024.904,10065411.916666666,0.003877129353780463,13872.820112509187,0.003773899054348576,
202309,0.2,12094448.901861528,9460675.667134883,193891380.32779354,195013954.44802403,195842293.23872608,2481691.121873101,2496168.4359054267,2506801.8637956167,49429.356400000004,7086251.0,0.0069753888762901575,14477.314032325521,0.005799814557415559,
202310,0.2,25227702.32061068,20773018.8354879,292228456.2053198,294489723.1932661,295058617.23888534,3213681.1652091737,3238603.3161460897,3244669.710423935,76758.80946666669,9061591.083333334,0.008470787167592066,24922.150936916005,0.007695339164468328,
202311,0.2,21865950.82016532,18345197.63368968,302226774.5658834,303255497.2174328,302537118.7977619,2788219.3886908297,2797628.1984611712,2790362.6426551365,34008.08333333334,7971354.25,0.004266286789767666,9408.809770341497,0.0033631380236719055,
202312,0.2,12249375.920691814,10056574.188387249,265669349.66724485,265911894.72253543,264988258.16502786,2925164.8661566065,2927884.690930075,2918119.141432916,17562.933333333338,8247273.333333334,0.0021295442291634167,2719.824773468543,0.0009289384865100546,
202401,0.2,20911457.850806993,15065001.070402559,331863922.74987924,333053844.30455726,332636248.3119856,2737718.686636882,2747660.103496097,2745014.2900897264,36502.644033333345,7794492.333333333,0.004683132970344831,9941.416859215125,0.0036181392474876205,20240111
202402,0.2,24777740.33466105,19559949.553064365,133394973.05200392,135010547.04324976,137303645.69157788,1743400.4033059145,1764372.5594325366,1794836.664069781,76391.38333333335,5135439.833333334,0.014875334112083033,20972.15612662211,0.011886466956484092,
202403,0.2,36049962.94308374,28735765.269836146,59126518.50589991,62003260.79411773,65174334.78259168,1033604.6515937801,1083735.9837608614,1137781.4681306388,152573.44296666668,3266669.25,0.046706119074242575,50131.3321670813,0.04625788284071902,20240310
202404,0.2,41332493.90849148,33925943.66855662,45735093.354894534,48450509.02054299,53696086.77083365,814933.2263967389,863281.3957096862,956745.5198789985,149401.06810000003,2706581.666666667,0.055199172424749796,48348.16931294731,0.05600510975126628,
