year_month,method,k,total_profit,total_profit_actual,total_cost,total_cost_actual,total_cost_withoutESS,total_carbon,total_carbon_actual,total_carbon_withoutESS,total_absorbed,total_natural_gas,rate_gas,carbon_reduce,rate_carbon,skipped_gas_dates,monthly_result,meanstd
202301,self_scheduling,0.2,28151012.1120743,22266452.893665113,1254573218.4909148,1257332709.9892783,1270025465.937825,2701278.622189617,2707228.4884256106,2734615.8457013112,25887.249999999993,7744607.333333333,0.003342616208387926,5949.866235993803,0.0021977702515438395,,D:\Research\Release_Open\Results\Self-Scheduling\January2023_eta95%_std2_exact_V5_self_scheduling_k20.csv,2.0
202302,self_scheduling,0.2,13412810.554767136,10989143.381900935,424466090.49652696,426580341.02334523,426224898.0157747,2327030.22366081,2338661.802687825,2336967.3622007165,37507.287052626314,6667347.083333333,0.005625518903370872,11631.57902701525,0.004973604568923592,,D:\Research\Release_Open\Results\Self-Scheduling\February2023_eta95%_std2_exact_V5_self_scheduling_k20.csv,2.0
202303,self_scheduling,0.2,23789870.672635317,18649127.02332505,300257328.3356371,303395237.0922201,302947966.9108559,2166150.1660094215,2188873.3162375195,2186034.8077224614,68969.01961402982,6311476.333333334,0.010927557352909319,22723.150228098035,0.010381208478139397,20230312,D:\Research\Release_Open\Results\Self-Scheduling\March2023_eta95%_std2_exact_V5_self_scheduling_k20.csv,2.0
202304,self_scheduling,0.2,28748339.92384502,22784344.981880814,174893682.85102972,177662937.27712053,178969330.96832353,1804520.0593871463,1833190.5956888434,1847185.5990676251,86984.74579166668,5396472.833333334,0.016118814729201052,28670.53630169714,0.01563969200426966,,D:\Research\Release_Open\Results\Self-Scheduling\April2023_eta95%_std2_exact_V5_self_scheduling_k20.csv,2.0
202305,self_scheduling,0.2,15245077.021125125,12421008.650421625,74858432.31715602,76291126.0109824,76763340.88149789,1153198.3397698496,1175223.5682954532,1183697.8512677383,74559.36666666667,3573361.833333333,0.020865327986423245,22025.228525603656,0.018741309415321795,,D:\Research\Release_Open\Results\Self-Scheduling\May2023_eta95%_std2_exact_V5_self_scheduling_k20.csv,2.0
202306,self_scheduling,0.2,13173963.26567974,10292403.848168075,106184755.51049313,108049998.06868887,108931464.52421403,1597033.688987211,1625199.9387793634,1639747.4515849259,88407.68333333333,4759889.5,0.018573473887016356,28166.249792152317,0.017330944408788927,,D:\Research\Release_Open\Results\Self-Scheduling\June2023_eta95%_std2_exact_V5_self_scheduling_k20.csv,2.0
202307,self_scheduling,0.2,21965914.912339687,18915647.31590506,373792547.1216236,375124912.8761397,379809891.1467651,3748088.501895266,3761418.624778372,3807995.24346638,34434.84999999999,10171872.75,0.0033853009024321498,13330.12288310565,0.0035439083528999863,,D:\Research\Release_Open\Results\Self-Scheduling\July2023_eta95%_std2_exact_V5_self_scheduling_k20.csv,2.0
202308,self_scheduling,0.2,15392679.834794097,11738534.47038227,391800597.1156679,393274168.49989474,399032250.1341566,3662229.46647363,3675991.3057356067,3729170.818626373,39330.90027700831,10065411.916666666,0.003907530124215066,13761.839261976536,0.003743708327194381,,D:\Research\Release_Open\Results\Self-Scheduling\August2023_eta95%_std2_exact_V5_self_scheduling_k20.csv,2.0
202309,self_scheduling,0.2,12083172.060676532,9460675.667134883,193889652.12643307,195013954.44802415,195842293.23872635,2481652.519335746,2496168.4359054267,2506801.863795616,49986.30004616805,7086251.0,0.0070539838408444815,14515.916569680907,0.0058152792739788,,D:\Research\Release_Open\Results\Self-Scheduling\September2023_eta95%_std2_exact_V5_self_scheduling_k20.csv,2.0
202310,self_scheduling,0.2,25194956.06575955,20773018.835487917,292262819.3109494,294489723.19326586,295058617.2388855,3214042.2929061954,3238603.3161460916,3244669.710423938,76701.75940349298,9061591.083333334,0.008464491356773738,24561.023239896167,0.00758383193071128,,D:\Research\Release_Open\Results\Self-Scheduling\October2023_eta95%_std2_exact_V5_self_scheduling_k20.csv,2.0
202311,self_scheduling,0.2,21851946.129797786,18345197.633689664,302245144.2350645,303255497.2174328,302537118.7977619,2788402.230685073,2797628.1984611712,2790362.642655137,34215.700000000004,7971354.25,0.004292332134153993,9225.967776098289,0.0032977819501437003,,D:\Research\Release_Open\Results\Self-Scheduling\November2023_eta95%_std2_exact_V5_self_scheduling_k20.csv,2.0
