year_month,k,total_profit,total_profit_actual,total_cost,total_cost_actual,total_cost_withoutESS,total_carbon,total_carbon_actual,total_carbon_withoutESS,total_absorbed,total_natural_gas,rate_gas,carbon_reduce,rate_carbon,skipped_gas_dates
202301,0.2,28137577.1729801,22266452.89366512,990031634.4768957,994352139.1439043,1019556244.8981905,2129879.811210248,2139284.973909818,2193416.301698438,25853.73333333333,7744607.333333333,0.003338288465840876,9405.162699569948,0.0022018819117165063,
202302,0.2,13428811.52651653,10989143.38190093,325983710.8052454,329107103.6699895,336964403.48514205,1785495.607068785,1802608.7284470855,1845681.9540019797,37632.62123333334,6667347.083333333,0.005644317111884769,17113.12137830048,0.005155521292260515,
202303,0.2,23789212.328795176,18649127.023325022,213543459.94449696,217880951.15957463,223051638.90839985,1543500.4270497041,1574678.8218854698,1611486.5220352374,69134.15280000001,6311476.333333334,0.010953721308416537,31178.394835765706,0.009860884516770673,20230312
202304,0.2,28706427.56269813,22784344.98188084,116754657.83042927,120475486.42600267,127215905.7442219,1207587.5839758085,1245870.68371735,1315224.5210904535,86825.64580000003,5396472.833333334,0.016089332510614885,38283.09974154155,0.01851491068209509,
202305,0.2,15225817.88906025,12421008.650421612,23585539.985386048,24716170.345062017,28778664.097520716,365747.3165429321,383196.10398529086,445223.508675447,74066.28016666668,3573361.833333333,0.02072733846199268,17448.787442358735,0.0061956686448575845,
202306,0.2,13158279.683026303,10292403.848168086,53556404.20332295,55754050.250278935,59942444.29670506,809445.2513874075,842556.3671498904,905333.4413309766,88646.28036666667,4759889.5,0.018623600477840226,33111.11576248286,0.014666538259781195,
202307,0.2,21883651.851547286,18915647.31590507,357736246.57786614,359148046.08358926,365405429.3438223,3583542.5518688457,3597746.6393723385,3659828.563475346,34417.1658,10171872.75,0.0033835623631843018,14204.087503492832,0.0032113834203189185,
202308,0.2,15362883.639477156,11738534.470382264,360171260.2653414,362046506.1640901,371324016.6947512,3360647.320867226,3378352.151596687,3464692.7533259615,38942.1887,10065411.916666666,0.003868911577828041,17704.83072946081,0.003393949973669235,
202309,0.2,12086146.831112763,9460675.667134883,143619969.8151848,145549194.50604755,149802422.32266822,1838602.7182675353,1863239.5301144898,1917749.7229393856,50330.4239,7086251.0,0.007102546028922769,24636.811846954515,0.006435239284984085,
202310,0.2,25220464.76232809,20773018.8354879,249075440.5752106,252293986.07786664,254787615.78286856,2738519.5626847814,2773954.8949759044,2801936.479524612,76839.00966666668,9061591.083333334,0.008479637732494239,35435.33229112299,0.008233181564654607,
202311,0.2,21853830.86081062,18345197.63368968,243256319.22873092,244792623.91549113,248761346.4076215,2243279.9552293937,2257278.026794451,2293895.596858995,34008.08333333334,7971354.25,0.004266286789767666,13998.071565057151,0.003522823597547993,
202312,0.2,12255467.698542738,10056574.188387249,227233503.2091665,227936051.32069722,232214896.62624943,2501109.699321633,2508834.235424786,2556210.825842686,17568.933333333338,8247273.333333334,0.002130271742337468,7724.53610315267,0.0017662385066050874,
202401,0.2,20900536.81401693,15065001.070402559,275786747.23076165,277921525.27799714,288590552.03049845,2274891.8315481804,2292580.987489605,2380631.5252264985,36502.644033333345,7794492.333333333,0.004683132970344831,17689.155941424426,0.004584403724266474,20240111
202402,0.2,24774467.823218074,19559949.553064365,93408757.24170305,96000981.77101862,109007314.40602154,1217073.9636163937,1250988.1145415986,1421070.4061325719,76391.38333333335,5135439.833333334,0.014875334112083033,33914.150925204856,0.010846450188340491,
202403,0.2,36043016.47271829,28735765.269836146,23928367.530564122,26703892.56698864,37981731.7062464,417039.3520210181,465341.47578652477,661620.5693224556,153180.59933333338,3266669.25,0.04689198312113581,48302.123765506665,0.02136145854433406,20240310
202404,0.2,41319131.67848365,33925943.66855662,16302045.689831953,18397793.63359023,32105764.961927038,291782.77273783454,329254.9122250896,573547.5862431886,149399.06830000004,2706581.666666667,0.05519843355918198,37472.13948725507,0.01954114977453584,
202405,0.2,41815017.28344092,34062957.18272228,13906732.273811692,15510891.160634657,29810804.627969682,256344.34733221558,285843.45790462295,548462.7739615373,176584.9041666667,2338303.0,0.07551840123656631,29499.11057240737,0.017881041091790957,
202406,0.2,26297500.596588187,21480449.397126574,36567956.24059908,38483025.31866008,55320412.345210046,635728.6309084931,668935.6696102689,961200.5496696284,107601.46106666668,3661462.0,0.029387567334214226,33207.03870177583,0.012505778488727986,20240627
202407,0.2,32588835.18313959,27999191.19316587,174737550.364083,176516801.70377478,199196803.87567955,2709783.262210586,2737615.9480703482,3091246.120548135,48243.43333333334,8725403.583333332,0.00552907758048976,27832.685859762132,0.005960704058769392,
