interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,wind_curtailment_mwh,wind_curtailment_mw,solar_curtailment_mwh,solar_curtailment_mw,total_curtailment_mwh,total_curtailment_mw
2025-04-01T00:00:00-07:00,2025-04-01 07:00:00+00:00,2025-04-01T01:00:00-07:00,2025-04-01 08:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-01T01:00:00-07:00,2025-04-01 08:00:00+00:00,2025-04-01T02:00:00-07:00,2025-04-01 09:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-01T02:00:00-07:00,2025-04-01 09:00:00+00:00,2025-04-01T03:00:00-07:00,2025-04-01 10:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-01T03:00:00-07:00,2025-04-01 10:00:00+00:00,2025-04-01T04:00:00-07:00,2025-04-01 11:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-01T04:00:00-07:00,2025-04-01 11:00:00+00:00,2025-04-01T05:00:00-07:00,2025-04-01 12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-01T05:00:00-07:00,2025-04-01 12:00:00+00:00,2025-04-01T06:00:00-07:00,2025-04-01 13:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-01T06:00:00-07:00,2025-04-01 13:00:00+00:00,2025-04-01T07:00:00-07:00,2025-04-01 14:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-01T07:00:00-07:00,2025-04-01 14:00:00+00:00,2025-04-01T08:00:00-07:00,2025-04-01 15:00:00+00:00,0.0,0.0,23.0,133.0,23.0,133.0
2025-04-01T08:00:00-07:00,2025-04-01 15:00:00+00:00,2025-04-01T09:00:00-07:00,2025-04-01 16:00:00+00:00,41.0,148.0,827.0,1910.0,868.0,2058.0
2025-04-01T09:00:00-07:00,2025-04-01 16:00:00+00:00,2025-04-01T10:00:00-07:00,2025-04-01 17:00:00+00:00,97.0,96.0,2248.0,2640.0,2345.0,2736.0
2025-04-01T10:00:00-07:00,2025-04-01 17:00:00+00:00,2025-04-01T11:00:00-07:00,2025-04-01 18:00:00+00:00,446.0,832.0,2858.0,3823.0,3304.0,4655.0
2025-04-01T11:00:00-07:00,2025-04-01 18:00:00+00:00,2025-04-01T12:00:00-07:00,2025-04-01 19:00:00+00:00,623.0,839.0,2978.0,3247.0,3601.0,4086.0
2025-04-01T12:00:00-07:00,2025-04-01 19:00:00+00:00,2025-04-01T13:00:00-07:00,2025-04-01 20:00:00+00:00,695.0,727.0,2787.0,3112.0,3482.0,3839.0
2025-04-01T13:00:00-07:00,2025-04-01 20:00:00+00:00,2025-04-01T14:00:00-07:00,2025-04-01 21:00:00+00:00,567.0,1078.0,2199.0,2878.0,2766.0,3956.0
2025-04-01T14:00:00-07:00,2025-04-01 21:00:00+00:00,2025-04-01T15:00:00-07:00,2025-04-01 22:00:00+00:00,824.0,1000.0,2746.0,3034.0,3570.0,4034.0
2025-04-01T15:00:00-07:00,2025-04-01 22:00:00+00:00,2025-04-01T16:00:00-07:00,2025-04-01 23:00:00+00:00,644.0,899.0,2265.0,2353.0,2909.0,3252.0
2025-04-01T16:00:00-07:00,2025-04-01 23:00:00+00:00,2025-04-01T17:00:00-07:00,2025-04-02 00:00:00+00:00,282.0,374.0,1246.0,2606.0,1528.0,2980.0
2025-04-01T17:00:00-07:00,2025-04-02 00:00:00+00:00,2025-04-01T18:00:00-07:00,2025-04-02 01:00:00+00:00,28.0,48.0,447.0,1397.0,475.0,1445.0
2025-04-01T18:00:00-07:00,2025-04-02 01:00:00+00:00,2025-04-01T19:00:00-07:00,2025-04-02 02:00:00+00:00,137.0,208.0,0.0,0.0,137.0,208.0
2025-04-01T19:00:00-07:00,2025-04-02 02:00:00+00:00,2025-04-01T20:00:00-07:00,2025-04-02 03:00:00+00:00,139.0,203.0,0.0,0.0,139.0,203.0
