interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,wind_curtailment_mwh,wind_curtailment_mw,solar_curtailment_mwh,solar_curtailment_mw,total_curtailment_mwh,total_curtailment_mw
2024-08-01T00:00:00-07:00,2024-08-01 07:00:00+00:00,2024-08-01T01:00:00-07:00,2024-08-01 08:00:00+00:00,0,0,0,0,0,0
2024-08-01T01:00:00-07:00,2024-08-01 08:00:00+00:00,2024-08-01T02:00:00-07:00,2024-08-01 09:00:00+00:00,0,0,0,0,0,0
2024-08-01T02:00:00-07:00,2024-08-01 09:00:00+00:00,2024-08-01T03:00:00-07:00,2024-08-01 10:00:00+00:00,0,0,0,0,0,0
2024-08-01T03:00:00-07:00,2024-08-01 10:00:00+00:00,2024-08-01T04:00:00-07:00,2024-08-01 11:00:00+00:00,0,0,0,0,0,0
2024-08-01T04:00:00-07:00,2024-08-01 11:00:00+00:00,2024-08-01T05:00:00-07:00,2024-08-01 12:00:00+00:00,0,0,0,0,0,0
2024-08-01T05:00:00-07:00,2024-08-01 12:00:00+00:00,2024-08-01T06:00:00-07:00,2024-08-01 13:00:00+00:00,0,0,0,0,0,0
2024-08-01T06:00:00-07:00,2024-08-01 13:00:00+00:00,2024-08-01T07:00:00-07:00,2024-08-01 14:00:00+00:00,0,0,0,0,0,0
2024-08-01T07:00:00-07:00,2024-08-01 14:00:00+00:00,2024-08-01T08:00:00-07:00,2024-08-01 15:00:00+00:00,0,0,0,0,0,0
2024-08-01T08:00:00-07:00,2024-08-01 15:00:00+00:00,2024-08-01T09:00:00-07:00,2024-08-01 16:00:00+00:00,0,0,38,57,38,57
2024-08-01T09:00:00-07:00,2024-08-01 16:00:00+00:00,2024-08-01T10:00:00-07:00,2024-08-01 17:00:00+00:00,0,0,157,259,157,259
2024-08-01T10:00:00-07:00,2024-08-01 17:00:00+00:00,2024-08-01T11:00:00-07:00,2024-08-01 18:00:00+00:00,0,0,135,156,135,156
2024-08-01T11:00:00-07:00,2024-08-01 18:00:00+00:00,2024-08-01T12:00:00-07:00,2024-08-01 19:00:00+00:00,0,0,146,192,146,192
2024-08-01T12:00:00-07:00,2024-08-01 19:00:00+00:00,2024-08-01T13:00:00-07:00,2024-08-01 20:00:00+00:00,0,0,255,311,255,311
2024-08-01T13:00:00-07:00,2024-08-01 20:00:00+00:00,2024-08-01T14:00:00-07:00,2024-08-01 21:00:00+00:00,0,0,128,176,128,176
2024-08-01T14:00:00-07:00,2024-08-01 21:00:00+00:00,2024-08-01T15:00:00-07:00,2024-08-01 22:00:00+00:00,0,0,253,370,253,370
2024-08-01T15:00:00-07:00,2024-08-01 22:00:00+00:00,2024-08-01T16:00:00-07:00,2024-08-01 23:00:00+00:00,0,0,99,144,99,144
2024-08-01T16:00:00-07:00,2024-08-01 23:00:00+00:00,2024-08-01T17:00:00-07:00,2024-08-02 00:00:00+00:00,0,0,199,456,199,456
2024-08-01T17:00:00-07:00,2024-08-02 00:00:00+00:00,2024-08-01T18:00:00-07:00,2024-08-02 01:00:00+00:00,6,6,103,227,109,233
