interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,wind_curtailment_mwh,wind_curtailment_mw,solar_curtailment_mwh,solar_curtailment_mw,total_curtailment_mwh,total_curtailment_mw
2024-12-01T00:00:00-08:00,2024-12-01 08:00:00+00:00,2024-12-01T01:00:00-08:00,2024-12-01 09:00:00+00:00,0,0,0,0,0,0
2024-12-01T01:00:00-08:00,2024-12-01 09:00:00+00:00,2024-12-01T02:00:00-08:00,2024-12-01 10:00:00+00:00,0,0,0,0,0,0
2024-12-01T02:00:00-08:00,2024-12-01 10:00:00+00:00,2024-12-01T03:00:00-08:00,2024-12-01 11:00:00+00:00,0,0,0,0,0,0
2024-12-01T03:00:00-08:00,2024-12-01 11:00:00+00:00,2024-12-01T04:00:00-08:00,2024-12-01 12:00:00+00:00,0,0,0,0,0,0
2024-12-01T04:00:00-08:00,2024-12-01 12:00:00+00:00,2024-12-01T05:00:00-08:00,2024-12-01 13:00:00+00:00,0,0,0,0,0,0
2024-12-01T05:00:00-08:00,2024-12-01 13:00:00+00:00,2024-12-01T06:00:00-08:00,2024-12-01 14:00:00+00:00,0,0,0,0,0,0
2024-12-01T06:00:00-08:00,2024-12-01 14:00:00+00:00,2024-12-01T07:00:00-08:00,2024-12-01 15:00:00+00:00,0,0,0,0,0,0
2024-12-01T07:00:00-08:00,2024-12-01 15:00:00+00:00,2024-12-01T08:00:00-08:00,2024-12-01 16:00:00+00:00,0,0,0,0,0,0
2024-12-01T08:00:00-08:00,2024-12-01 16:00:00+00:00,2024-12-01T09:00:00-08:00,2024-12-01 17:00:00+00:00,0,0,0,0,0,0
2024-12-01T09:00:00-08:00,2024-12-01 17:00:00+00:00,2024-12-01T10:00:00-08:00,2024-12-01 18:00:00+00:00,0,0,1,13,1,13
2024-12-01T10:00:00-08:00,2024-12-01 18:00:00+00:00,2024-12-01T11:00:00-08:00,2024-12-01 19:00:00+00:00,0,0,0,0,0,0
2024-12-01T11:00:00-08:00,2024-12-01 19:00:00+00:00,2024-12-01T12:00:00-08:00,2024-12-01 20:00:00+00:00,0,0,17,36,17,36
2024-12-01T12:00:00-08:00,2024-12-01 20:00:00+00:00,2024-12-01T13:00:00-08:00,2024-12-01 21:00:00+00:00,0,0,6,40,6,40
2024-12-01T13:00:00-08:00,2024-12-01 21:00:00+00:00,2024-12-01T14:00:00-08:00,2024-12-01 22:00:00+00:00,0,0,61,101,61,101
2024-12-01T14:00:00-08:00,2024-12-01 22:00:00+00:00,2024-12-01T15:00:00-08:00,2024-12-01 23:00:00+00:00,0,0,25,179,25,179
2024-12-01T15:00:00-08:00,2024-12-01 23:00:00+00:00,2024-12-01T16:00:00-08:00,2024-12-02 00:00:00+00:00,0,0,1,13,1,13
2024-12-01T16:00:00-08:00,2024-12-02 00:00:00+00:00,2024-12-01T17:00:00-08:00,2024-12-02 01:00:00+00:00,0,0,0,0,0,0
2024-12-01T17:00:00-08:00,2024-12-02 01:00:00+00:00,2024-12-01T18:00:00-08:00,2024-12-02 02:00:00+00:00,0,0,0,0,0,0
2024-12-01T18:00:00-08:00,2024-12-02 02:00:00+00:00,2024-12-01T19:00:00-08:00,2024-12-02 03:00:00+00:00,0,0,0,0,0,0
2024-12-01T19:00:00-08:00,2024-12-02 03:00:00+00:00,2024-12-01T20:00:00-08:00,2024-12-02 04:00:00+00:00,0,0,0,0,0,0
2024-12-01T20:00:00-08:00,2024-12-02 04:00:00+00:00,2024-12-01T21:00:00-08:00,2024-12-02 05:00:00+00:00,0,0,0,0,0,0
2024-12-01T21:00:00-08:00,2024-12-02 05:00:00+00:00,2024-12-01T22:00:00-08:00,2024-12-02 06:00:00+00:00,0,0,0,0,0,0
2024-12-01T22:00:00-08:00,2024-12-02 06:00:00+00:00,2024-12-01T23:00:00-08:00,2024-12-02 07:00:00+00:00,0,0,0,0,0,0
2024-12-01T23:00:00-08:00,2024-12-02 07:00:00+00:00,2024-12-02T00:00:00-08:00,2024-12-02 08:00:00+00:00,0,0,0,0,0,0
2024-12-02T00:00:00-08:00,2024-12-02 08:00:00+00:00,2024-12-02T01:00:00-08:00,2024-12-02 09:00:00+00:00,0,0,0,0,0,0
2024-12-02T01:00:00-08:00,2024-12-02 09:00:00+00:00,2024-12-02T02:00:00-08:00,2024-12-02 10:00:00+00:00,0,0,0,0,0,0
2024-12-02T02:00:00-08:00,2024-12-02 10:00:00+00:00,2024-12-02T03:00:00-08:00,2024-12-02 11:00:00+00:00,0,0,0,0,0,0
2024-12-02T03:00:00-08:00,2024-12-02 11:00:00+00:00,2024-12-02T04:00:00-08:00,2024-12-02 12:00:00+00:00,0,0,0,0,0,0
2024-12-02T04:00:00-08:00,2024-12-02 12:00:00+00:00,2024-12-02T05:00:00-08:00,2024-12-02 13:00:00+00:00,0,0,0,0,0,0
2024-12-02T05:00:00-08:00,2024-12-02 13:00:00+00:00,2024-12-02T06:00:00-08:00,2024-12-02 14:00:00+00:00,0,0,0,0,0,0
2024-12-02T06:00:00-08:00,2024-12-02 14:00:00+00:00,2024-12-02T07:00:00-08:00,2024-12-02 15:00:00+00:00,0,0,0,5,0,5
2024-12-02T07:00:00-08:00,2024-12-02 15:00:00+00:00,2024-12-02T08:00:00-08:00,2024-12-02 16:00:00+00:00,0,0,0,0,0,0
2024-12-02T08:00:00-08:00,2024-12-02 16:00:00+00:00,2024-12-02T09:00:00-08:00,2024-12-02 17:00:00+00:00,0,0,106,267,106,267
2024-12-02T09:00:00-08:00,2024-12-02 17:00:00+00:00,2024-12-02T10:00:00-08:00,2024-12-02 18:00:00+00:00,0,0,5,25,5,25
2024-12-02T10:00:00-08:00,2024-12-02 18:00:00+00:00,2024-12-02T11:00:00-08:00,2024-12-02 19:00:00+00:00,0,0,1,12,1,12
2024-12-02T11:00:00-08:00,2024-12-02 19:00:00+00:00,2024-12-02T12:00:00-08:00,2024-12-02 20:00:00+00:00,0,0,0,0,0,0
2024-12-02T12:00:00-08:00,2024-12-02 20:00:00+00:00,2024-12-02T13:00:00-08:00,2024-12-02 21:00:00+00:00,0,1,24,239,24,240
2024-12-02T13:00:00-08:00,2024-12-02 21:00:00+00:00,2024-12-02T14:00:00-08:00,2024-12-02 22:00:00+00:00,0,0,29,97,29,97
2024-12-02T14:00:00-08:00,2024-12-02 22:00:00+00:00,2024-12-02T15:00:00-08:00,2024-12-02 23:00:00+00:00,0,0,19,93,19,93
2024-12-02T15:00:00-08:00,2024-12-02 23:00:00+00:00,2024-12-02T16:00:00-08:00,2024-12-03 00:00:00+00:00,0,0,0,4,0,4
2024-12-02T16:00:00-08:00,2024-12-03 00:00:00+00:00,2024-12-02T17:00:00-08:00,2024-12-03 01:00:00+00:00,0,0,0,0,0,0
2024-12-02T17:00:00-08:00,2024-12-03 01:00:00+00:00,2024-12-02T18:00:00-08:00,2024-12-03 02:00:00+00:00,0,0,0,0,0,0
2024-12-02T18:00:00-08:00,2024-12-03 02:00:00+00:00,2024-12-02T19:00:00-08:00,2024-12-03 03:00:00+00:00,0,0,0,0,0,0
2024-12-02T19:00:00-08:00,2024-12-03 03:00:00+00:00,2024-12-02T20:00:00-08:00,2024-12-03 04:00:00+00:00,0,0,0,0,0,0
2024-12-02T20:00:00-08:00,2024-12-03 04:00:00+00:00,2024-12-02T21:00:00-08:00,2024-12-03 05:00:00+00:00,0,0,0,0,0,0
2024-12-02T21:00:00-08:00,2024-12-03 05:00:00+00:00,2024-12-02T22:00:00-08:00,2024-12-03 06:00:00+00:00,0,0,0,0,0,0
2024-12-02T22:00:00-08:00,2024-12-03 06:00:00+00:00,2024-12-02T23:00:00-08:00,2024-12-03 07:00:00+00:00,0,0,0,0,0,0
2024-12-02T23:00:00-08:00,2024-12-03 07:00:00+00:00,2024-12-03T00:00:00-08:00,2024-12-03 08:00:00+00:00,0,0,0,0,0,0
2024-12-03T00:00:00-08:00,2024-12-03 08:00:00+00:00,2024-12-03T01:00:00-08:00,2024-12-03 09:00:00+00:00,0,0,0,0,0,0
2024-12-03T01:00:00-08:00,2024-12-03 09:00:00+00:00,2024-12-03T02:00:00-08:00,2024-12-03 10:00:00+00:00,0,0,0,0,0,0
2024-12-03T02:00:00-08:00,2024-12-03 10:00:00+00:00,2024-12-03T03:00:00-08:00,2024-12-03 11:00:00+00:00,0,0,0,0,0,0
2024-12-03T03:00:00-08:00,2024-12-03 11:00:00+00:00,2024-12-03T04:00:00-08:00,2024-12-03 12:00:00+00:00,0,0,0,0,0,0
2024-12-03T04:00:00-08:00,2024-12-03 12:00:00+00:00,2024-12-03T05:00:00-08:00,2024-12-03 13:00:00+00:00,0,0,0,0,0,0
2024-12-03T05:00:00-08:00,2024-12-03 13:00:00+00:00,2024-12-03T06:00:00-08:00,2024-12-03 14:00:00+00:00,0,0,0,0,0,0
