interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,wind_curtailment_mwh,wind_curtailment_mw,solar_curtailment_mwh,solar_curtailment_mw,total_curtailment_mwh,total_curtailment_mw
2025-02-01T00:00:00-08:00,2025-02-01 08:00:00+00:00,2025-02-01T01:00:00-08:00,2025-02-01 09:00:00+00:00,0,0,0,0,0,0
2025-02-01T01:00:00-08:00,2025-02-01 09:00:00+00:00,2025-02-01T02:00:00-08:00,2025-02-01 10:00:00+00:00,0,0,0,0,0,0
2025-02-01T02:00:00-08:00,2025-02-01 10:00:00+00:00,2025-02-01T03:00:00-08:00,2025-02-01 11:00:00+00:00,0,0,0,0,0,0
2025-02-01T03:00:00-08:00,2025-02-01 11:00:00+00:00,2025-02-01T04:00:00-08:00,2025-02-01 12:00:00+00:00,0,0,0,0,0,0
2025-02-01T04:00:00-08:00,2025-02-01 12:00:00+00:00,2025-02-01T05:00:00-08:00,2025-02-01 13:00:00+00:00,0,0,0,0,0,0
2025-02-01T05:00:00-08:00,2025-02-01 13:00:00+00:00,2025-02-01T06:00:00-08:00,2025-02-01 14:00:00+00:00,0,0,0,0,0,0
2025-02-01T06:00:00-08:00,2025-02-01 14:00:00+00:00,2025-02-01T07:00:00-08:00,2025-02-01 15:00:00+00:00,0,0,0,0,0,0
2025-02-01T07:00:00-08:00,2025-02-01 15:00:00+00:00,2025-02-01T08:00:00-08:00,2025-02-01 16:00:00+00:00,0,0,9,40,9,40
2025-02-01T08:00:00-08:00,2025-02-01 16:00:00+00:00,2025-02-01T09:00:00-08:00,2025-02-01 17:00:00+00:00,0,0,154,279,154,279
2025-02-01T09:00:00-08:00,2025-02-01 17:00:00+00:00,2025-02-01T10:00:00-08:00,2025-02-01 18:00:00+00:00,39,87,950,1626,989,1713
2025-02-01T10:00:00-08:00,2025-02-01 18:00:00+00:00,2025-02-01T11:00:00-08:00,2025-02-01 19:00:00+00:00,9,87,1541,1947,1550,2034
2025-02-01T11:00:00-08:00,2025-02-01 19:00:00+00:00,2025-02-01T12:00:00-08:00,2025-02-01 20:00:00+00:00,69,74,2142,2541,2211,2615
2025-02-01T12:00:00-08:00,2025-02-01 20:00:00+00:00,2025-02-01T13:00:00-08:00,2025-02-01 21:00:00+00:00,89,95,1832,1957,1921,2052
2025-02-01T13:00:00-08:00,2025-02-01 21:00:00+00:00,2025-02-01T14:00:00-08:00,2025-02-01 22:00:00+00:00,76,69,1662,1997,1738,2066
2025-02-01T14:00:00-08:00,2025-02-01 22:00:00+00:00,2025-02-01T15:00:00-08:00,2025-02-01 23:00:00+00:00,49,76,1724,2096,1773,2172
2025-02-01T15:00:00-08:00,2025-02-01 23:00:00+00:00,2025-02-01T16:00:00-08:00,2025-02-02 00:00:00+00:00,0,0,1053,1557,1053,1557
2025-02-01T16:00:00-08:00,2025-02-02 00:00:00+00:00,2025-02-01T17:00:00-08:00,2025-02-02 01:00:00+00:00,0,0,22,90,22,90
2025-02-01T17:00:00-08:00,2025-02-02 01:00:00+00:00,2025-02-01T18:00:00-08:00,2025-02-02 02:00:00+00:00,0,0,0,0,0,0
2025-02-01T18:00:00-08:00,2025-02-02 02:00:00+00:00,2025-02-01T19:00:00-08:00,2025-02-02 03:00:00+00:00,0,0,0,0,0,0
2025-02-01T19:00:00-08:00,2025-02-02 03:00:00+00:00,2025-02-01T20:00:00-08:00,2025-02-02 04:00:00+00:00,0,0,0,0,0,0
2025-02-01T20:00:00-08:00,2025-02-02 04:00:00+00:00,2025-02-01T21:00:00-08:00,2025-02-02 05:00:00+00:00,25,38,0,0,25,38
2025-02-01T21:00:00-08:00,2025-02-02 05:00:00+00:00,2025-02-01T22:00:00-08:00,2025-02-02 06:00:00+00:00,1,8,0,0,1,8
2025-02-01T22:00:00-08:00,2025-02-02 06:00:00+00:00,2025-02-01T23:00:00-08:00,2025-02-02 07:00:00+00:00,0,0,0,0,0,0
2025-02-01T23:00:00-08:00,2025-02-02 07:00:00+00:00,2025-02-02T00:00:00-08:00,2025-02-02 08:00:00+00:00,0,0,0,0,0,0
2025-02-02T00:00:00-08:00,2025-02-02 08:00:00+00:00,2025-02-02T01:00:00-08:00,2025-02-02 09:00:00+00:00,0,0,0,0,0,0
2025-02-02T01:00:00-08:00,2025-02-02 09:00:00+00:00,2025-02-02T02:00:00-08:00,2025-02-02 10:00:00+00:00,0,0,0,0,0,0
2025-02-02T02:00:00-08:00,2025-02-02 10:00:00+00:00,2025-02-02T03:00:00-08:00,2025-02-02 11:00:00+00:00,0,0,0,0,0,0
2025-02-02T03:00:00-08:00,2025-02-02 11:00:00+00:00,2025-02-02T04:00:00-08:00,2025-02-02 12:00:00+00:00,0,0,0,0,0,0
2025-02-02T04:00:00-08:00,2025-02-02 12:00:00+00:00,2025-02-02T05:00:00-08:00,2025-02-02 13:00:00+00:00,0,0,0,0,0,0
2025-02-02T05:00:00-08:00,2025-02-02 13:00:00+00:00,2025-02-02T06:00:00-08:00,2025-02-02 14:00:00+00:00,0,0,0,0,0,0
2025-02-02T06:00:00-08:00,2025-02-02 14:00:00+00:00,2025-02-02T07:00:00-08:00,2025-02-02 15:00:00+00:00,0,0,0,0,0,0
2025-02-02T07:00:00-08:00,2025-02-02 15:00:00+00:00,2025-02-02T08:00:00-08:00,2025-02-02 16:00:00+00:00,0,0,57,285,57,285
2025-02-02T08:00:00-08:00,2025-02-02 16:00:00+00:00,2025-02-02T09:00:00-08:00,2025-02-02 17:00:00+00:00,36,95,1717,2909,1753,3004
2025-02-02T09:00:00-08:00,2025-02-02 17:00:00+00:00,2025-02-02T10:00:00-08:00,2025-02-02 18:00:00+00:00,113,123,3146,3585,3259,3708
2025-02-02T10:00:00-08:00,2025-02-02 18:00:00+00:00,2025-02-02T11:00:00-08:00,2025-02-02 19:00:00+00:00,136,189,4172,4601,4308,4790
2025-02-02T11:00:00-08:00,2025-02-02 19:00:00+00:00,2025-02-02T12:00:00-08:00,2025-02-02 20:00:00+00:00,222,270,4607,4961,4829,5231
2025-02-02T12:00:00-08:00,2025-02-02 20:00:00+00:00,2025-02-02T13:00:00-08:00,2025-02-02 21:00:00+00:00,219,291,5183,5602,5402,5893
2025-02-02T13:00:00-08:00,2025-02-02 21:00:00+00:00,2025-02-02T14:00:00-08:00,2025-02-02 22:00:00+00:00,296,268,5572,6111,5868,6379
2025-02-02T14:00:00-08:00,2025-02-02 22:00:00+00:00,2025-02-02T15:00:00-08:00,2025-02-02 23:00:00+00:00,322,367,6316,6539,6638,6906
2025-02-02T15:00:00-08:00,2025-02-02 23:00:00+00:00,2025-02-02T16:00:00-08:00,2025-02-03 00:00:00+00:00,207,231,4685,6539,4892,6770
2025-02-02T16:00:00-08:00,2025-02-03 00:00:00+00:00,2025-02-02T17:00:00-08:00,2025-02-03 01:00:00+00:00,1,15,80,583,81,598
2025-02-02T17:00:00-08:00,2025-02-03 01:00:00+00:00,2025-02-02T18:00:00-08:00,2025-02-03 02:00:00+00:00,0,0,0,0,0,0
2025-02-02T18:00:00-08:00,2025-02-03 02:00:00+00:00,2025-02-02T19:00:00-08:00,2025-02-03 03:00:00+00:00,0,0,0,0,0,0
