interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,wind_curtailment_mwh,wind_curtailment_mw,solar_curtailment_mwh,solar_curtailment_mw,total_curtailment_mwh,total_curtailment_mw
2025-01-01T00:00:00-08:00,2025-01-01 08:00:00+00:00,2025-01-01T01:00:00-08:00,2025-01-01 09:00:00+00:00,0,0,0,0,0,0
2025-01-01T01:00:00-08:00,2025-01-01 09:00:00+00:00,2025-01-01T02:00:00-08:00,2025-01-01 10:00:00+00:00,0,0,0,0,0,0
2025-01-01T02:00:00-08:00,2025-01-01 10:00:00+00:00,2025-01-01T03:00:00-08:00,2025-01-01 11:00:00+00:00,0,0,0,0,0,0
2025-01-01T03:00:00-08:00,2025-01-01 11:00:00+00:00,2025-01-01T04:00:00-08:00,2025-01-01 12:00:00+00:00,0,0,0,0,0,0
2025-01-01T04:00:00-08:00,2025-01-01 12:00:00+00:00,2025-01-01T05:00:00-08:00,2025-01-01 13:00:00+00:00,0,0,0,0,0,0
2025-01-01T05:00:00-08:00,2025-01-01 13:00:00+00:00,2025-01-01T06:00:00-08:00,2025-01-01 14:00:00+00:00,0,0,0,0,0,0
2025-01-01T06:00:00-08:00,2025-01-01 14:00:00+00:00,2025-01-01T07:00:00-08:00,2025-01-01 15:00:00+00:00,0,0,0,0,0,0
2025-01-01T07:00:00-08:00,2025-01-01 15:00:00+00:00,2025-01-01T08:00:00-08:00,2025-01-01 16:00:00+00:00,0,0,0,0,0,0
2025-01-01T08:00:00-08:00,2025-01-01 16:00:00+00:00,2025-01-01T09:00:00-08:00,2025-01-01 17:00:00+00:00,0,0,0,0,0,0
2025-01-01T09:00:00-08:00,2025-01-01 17:00:00+00:00,2025-01-01T10:00:00-08:00,2025-01-01 18:00:00+00:00,0,0,0,0,0,0
2025-01-01T10:00:00-08:00,2025-01-01 18:00:00+00:00,2025-01-01T11:00:00-08:00,2025-01-01 19:00:00+00:00,0,0,2,5,2,5
2025-01-01T11:00:00-08:00,2025-01-01 19:00:00+00:00,2025-01-01T12:00:00-08:00,2025-01-01 20:00:00+00:00,0,0,0,0,0,0
2025-01-01T12:00:00-08:00,2025-01-01 20:00:00+00:00,2025-01-01T13:00:00-08:00,2025-01-01 21:00:00+00:00,0,0,6,27,6,27
2025-01-01T13:00:00-08:00,2025-01-01 21:00:00+00:00,2025-01-01T14:00:00-08:00,2025-01-01 22:00:00+00:00,0,0,331,1381,331,1381
2025-01-01T14:00:00-08:00,2025-01-01 22:00:00+00:00,2025-01-01T15:00:00-08:00,2025-01-01 23:00:00+00:00,0,0,1386,1878,1386,1878
2025-01-01T15:00:00-08:00,2025-01-01 23:00:00+00:00,2025-01-01T16:00:00-08:00,2025-01-02 00:00:00+00:00,0,0,551,1995,551,1995
2025-01-01T16:00:00-08:00,2025-01-02 00:00:00+00:00,2025-01-01T17:00:00-08:00,2025-01-02 01:00:00+00:00,0,0,0,0,0,0
2025-01-01T17:00:00-08:00,2025-01-02 01:00:00+00:00,2025-01-01T18:00:00-08:00,2025-01-02 02:00:00+00:00,0,0,0,0,0,0
2025-01-01T18:00:00-08:00,2025-01-02 02:00:00+00:00,2025-01-01T19:00:00-08:00,2025-01-02 03:00:00+00:00,0,0,0,0,0,0
