interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,wind_curtailment_mwh,wind_curtailment_mw,solar_curtailment_mwh,solar_curtailment_mw,total_curtailment_mwh,total_curtailment_mw
2024-07-01T00:00:00-07:00,2024-07-01 07:00:00+00:00,2024-07-01T01:00:00-07:00,2024-07-01 08:00:00+00:00,0,0,0,0,0,0
2024-07-01T01:00:00-07:00,2024-07-01 08:00:00+00:00,2024-07-01T02:00:00-07:00,2024-07-01 09:00:00+00:00,0,0,0,0,0,0
2024-07-01T02:00:00-07:00,2024-07-01 09:00:00+00:00,2024-07-01T03:00:00-07:00,2024-07-01 10:00:00+00:00,0,0,0,0,0,0
2024-07-01T03:00:00-07:00,2024-07-01 10:00:00+00:00,2024-07-01T04:00:00-07:00,2024-07-01 11:00:00+00:00,0,0,0,0,0,0
2024-07-01T04:00:00-07:00,2024-07-01 11:00:00+00:00,2024-07-01T05:00:00-07:00,2024-07-01 12:00:00+00:00,0,0,0,0,0,0
2024-07-01T05:00:00-07:00,2024-07-01 12:00:00+00:00,2024-07-01T06:00:00-07:00,2024-07-01 13:00:00+00:00,0,0,0,0,0,0
2024-07-01T06:00:00-07:00,2024-07-01 13:00:00+00:00,2024-07-01T07:00:00-07:00,2024-07-01 14:00:00+00:00,0,0,2,11,2,11
2024-07-01T07:00:00-07:00,2024-07-01 14:00:00+00:00,2024-07-01T08:00:00-07:00,2024-07-01 15:00:00+00:00,0,0,64,129,64,129
2024-07-01T08:00:00-07:00,2024-07-01 15:00:00+00:00,2024-07-01T09:00:00-07:00,2024-07-01 16:00:00+00:00,87,77,640,926,727,1003
2024-07-01T09:00:00-07:00,2024-07-01 16:00:00+00:00,2024-07-01T10:00:00-07:00,2024-07-01 17:00:00+00:00,57,49,941,1001,998,1050
2024-07-01T10:00:00-07:00,2024-07-01 17:00:00+00:00,2024-07-01T11:00:00-07:00,2024-07-01 18:00:00+00:00,40,39,956,962,996,1001
2024-07-01T11:00:00-07:00,2024-07-01 18:00:00+00:00,2024-07-01T12:00:00-07:00,2024-07-01 19:00:00+00:00,24,29,921,1018,945,1047
2024-07-01T12:00:00-07:00,2024-07-01 19:00:00+00:00,2024-07-01T13:00:00-07:00,2024-07-01 20:00:00+00:00,0,0,185,268,185,268
2024-07-01T13:00:00-07:00,2024-07-01 20:00:00+00:00,2024-07-01T14:00:00-07:00,2024-07-01 21:00:00+00:00,0,0,178,244,178,244
2024-07-01T14:00:00-07:00,2024-07-01 21:00:00+00:00,2024-07-01T15:00:00-07:00,2024-07-01 22:00:00+00:00,82,125,222,261,304,386
2024-07-01T15:00:00-07:00,2024-07-01 22:00:00+00:00,2024-07-01T16:00:00-07:00,2024-07-01 23:00:00+00:00,129,139,194,237,323,376
2024-07-01T16:00:00-07:00,2024-07-01 23:00:00+00:00,2024-07-01T17:00:00-07:00,2024-07-02 00:00:00+00:00,154,166,213,338,367,504
2024-07-01T17:00:00-07:00,2024-07-02 00:00:00+00:00,2024-07-01T18:00:00-07:00,2024-07-02 01:00:00+00:00,124,177,196,314,320,491
2024-07-01T18:00:00-07:00,2024-07-02 01:00:00+00:00,2024-07-01T19:00:00-07:00,2024-07-02 02:00:00+00:00,4,23,118,266,122,289
2024-07-01T19:00:00-07:00,2024-07-02 02:00:00+00:00,2024-07-01T20:00:00-07:00,2024-07-02 03:00:00+00:00,21,52,9,5,30,57
2024-07-01T20:00:00-07:00,2024-07-02 03:00:00+00:00,2024-07-01T21:00:00-07:00,2024-07-02 04:00:00+00:00,62,83,0,0,62,83
2024-07-01T21:00:00-07:00,2024-07-02 04:00:00+00:00,2024-07-01T22:00:00-07:00,2024-07-02 05:00:00+00:00,30,93,0,0,30,93
2024-07-01T22:00:00-07:00,2024-07-02 05:00:00+00:00,2024-07-01T23:00:00-07:00,2024-07-02 06:00:00+00:00,2,2,0,0,2,2
2024-07-01T23:00:00-07:00,2024-07-02 06:00:00+00:00,2024-07-02T00:00:00-07:00,2024-07-02 07:00:00+00:00,0,0,0,0,0,0
2024-07-02T00:00:00-07:00,2024-07-02 07:00:00+00:00,2024-07-02T01:00:00-07:00,2024-07-02 08:00:00+00:00,0,0,0,0,0,0
2024-07-02T01:00:00-07:00,2024-07-02 08:00:00+00:00,2024-07-02T02:00:00-07:00,2024-07-02 09:00:00+00:00,0,0,0,0,0,0
2024-07-02T02:00:00-07:00,2024-07-02 09:00:00+00:00,2024-07-02T03:00:00-07:00,2024-07-02 10:00:00+00:00,0,0,0,0,0,0
2024-07-02T03:00:00-07:00,2024-07-02 10:00:00+00:00,2024-07-02T04:00:00-07:00,2024-07-02 11:00:00+00:00,0,0,0,0,0,0
2024-07-02T04:00:00-07:00,2024-07-02 11:00:00+00:00,2024-07-02T05:00:00-07:00,2024-07-02 12:00:00+00:00,0,0,0,0,0,0
2024-07-02T05:00:00-07:00,2024-07-02 12:00:00+00:00,2024-07-02T06:00:00-07:00,2024-07-02 13:00:00+00:00,0,0,0,0,0,0
2024-07-02T06:00:00-07:00,2024-07-02 13:00:00+00:00,2024-07-02T07:00:00-07:00,2024-07-02 14:00:00+00:00,0,0,4,14,4,14
2024-07-02T07:00:00-07:00,2024-07-02 14:00:00+00:00,2024-07-02T08:00:00-07:00,2024-07-02 15:00:00+00:00,0,0,12,38,12,38
2024-07-02T08:00:00-07:00,2024-07-02 15:00:00+00:00,2024-07-02T09:00:00-07:00,2024-07-02 16:00:00+00:00,3,4,240,435,243,439
2024-07-02T09:00:00-07:00,2024-07-02 16:00:00+00:00,2024-07-02T10:00:00-07:00,2024-07-02 17:00:00+00:00,8,35,514,597,522,632
