interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,wind_curtailment_mwh,wind_curtailment_mw,solar_curtailment_mwh,solar_curtailment_mw,total_curtailment_mwh,total_curtailment_mw
2024-06-01T00:00:00-07:00,2024-06-01 07:00:00+00:00,2024-06-01T01:00:00-07:00,2024-06-01 08:00:00+00:00,0,0,0,0,0,0
2024-06-01T01:00:00-07:00,2024-06-01 08:00:00+00:00,2024-06-01T02:00:00-07:00,2024-06-01 09:00:00+00:00,0,0,0,0,0,0
2024-06-01T02:00:00-07:00,2024-06-01 09:00:00+00:00,2024-06-01T03:00:00-07:00,2024-06-01 10:00:00+00:00,0,0,0,0,0,0
2024-06-01T03:00:00-07:00,2024-06-01 10:00:00+00:00,2024-06-01T04:00:00-07:00,2024-06-01 11:00:00+00:00,0,0,0,0,0,0
2024-06-01T04:00:00-07:00,2024-06-01 11:00:00+00:00,2024-06-01T05:00:00-07:00,2024-06-01 12:00:00+00:00,0,0,0,0,0,0
2024-06-01T05:00:00-07:00,2024-06-01 12:00:00+00:00,2024-06-01T06:00:00-07:00,2024-06-01 13:00:00+00:00,0,0,0,0,0,0
2024-06-01T06:00:00-07:00,2024-06-01 13:00:00+00:00,2024-06-01T07:00:00-07:00,2024-06-01 14:00:00+00:00,0,0,7,55,7,55
2024-06-01T07:00:00-07:00,2024-06-01 14:00:00+00:00,2024-06-01T08:00:00-07:00,2024-06-01 15:00:00+00:00,190,242,1522,3076,1712,3318
2024-06-01T08:00:00-07:00,2024-06-01 15:00:00+00:00,2024-06-01T09:00:00-07:00,2024-06-01 16:00:00+00:00,174,302,2751,3027,2925,3329
2024-06-01T09:00:00-07:00,2024-06-01 16:00:00+00:00,2024-06-01T10:00:00-07:00,2024-06-01 17:00:00+00:00,160,138,2798,3238,2958,3376
2024-06-01T10:00:00-07:00,2024-06-01 17:00:00+00:00,2024-06-01T11:00:00-07:00,2024-06-01 18:00:00+00:00,144,154,2834,3194,2978,3348
2024-06-01T11:00:00-07:00,2024-06-01 18:00:00+00:00,2024-06-01T12:00:00-07:00,2024-06-01 19:00:00+00:00,154,156,2201,2406,2355,2562
2024-06-01T12:00:00-07:00,2024-06-01 19:00:00+00:00,2024-06-01T13:00:00-07:00,2024-06-01 20:00:00+00:00,211,241,2400,2504,2611,2745
