interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,wind_curtailment_mwh,wind_curtailment_mw,solar_curtailment_mwh,solar_curtailment_mw,total_curtailment_mwh,total_curtailment_mw
2025-03-01T00:00:00-08:00,2025-03-01 08:00:00+00:00,2025-03-01T01:00:00-08:00,2025-03-01 09:00:00+00:00,0,0,0,0,0,0
2025-03-01T01:00:00-08:00,2025-03-01 09:00:00+00:00,2025-03-01T02:00:00-08:00,2025-03-01 10:00:00+00:00,0,0,0,0,0,0
2025-03-01T02:00:00-08:00,2025-03-01 10:00:00+00:00,2025-03-01T03:00:00-08:00,2025-03-01 11:00:00+00:00,0,0,0,0,0,0
2025-03-01T03:00:00-08:00,2025-03-01 11:00:00+00:00,2025-03-01T04:00:00-08:00,2025-03-01 12:00:00+00:00,0,0,0,0,0,0
2025-03-01T04:00:00-08:00,2025-03-01 12:00:00+00:00,2025-03-01T05:00:00-08:00,2025-03-01 13:00:00+00:00,0,0,0,0,0,0
2025-03-01T05:00:00-08:00,2025-03-01 13:00:00+00:00,2025-03-01T06:00:00-08:00,2025-03-01 14:00:00+00:00,0,0,0,0,0,0
2025-03-01T06:00:00-08:00,2025-03-01 14:00:00+00:00,2025-03-01T07:00:00-08:00,2025-03-01 15:00:00+00:00,0,0,0,0,0,0
2025-03-01T07:00:00-08:00,2025-03-01 15:00:00+00:00,2025-03-01T08:00:00-08:00,2025-03-01 16:00:00+00:00,49,78,1,13,50,91
2025-03-01T08:00:00-08:00,2025-03-01 16:00:00+00:00,2025-03-01T09:00:00-08:00,2025-03-01 17:00:00+00:00,66,81,107,509,173,590
2025-03-01T09:00:00-08:00,2025-03-01 17:00:00+00:00,2025-03-01T10:00:00-08:00,2025-03-01 18:00:00+00:00,49,35,822,994,871,1029
2025-03-01T10:00:00-08:00,2025-03-01 18:00:00+00:00,2025-03-01T11:00:00-08:00,2025-03-01 19:00:00+00:00,93,260,843,855,936,1115
2025-03-01T11:00:00-08:00,2025-03-01 19:00:00+00:00,2025-03-01T12:00:00-08:00,2025-03-01 20:00:00+00:00,191,197,1149,1594,1340,1791
2025-03-01T12:00:00-08:00,2025-03-01 20:00:00+00:00,2025-03-01T13:00:00-08:00,2025-03-01 21:00:00+00:00,418,409,1541,2085,1959,2494
2025-03-01T13:00:00-08:00,2025-03-01 21:00:00+00:00,2025-03-01T14:00:00-08:00,2025-03-01 22:00:00+00:00,509,541,2059,2401,2568,2942
2025-03-01T14:00:00-08:00,2025-03-01 22:00:00+00:00,2025-03-01T15:00:00-08:00,2025-03-01 23:00:00+00:00,524,583,2378,2470,2902,3053
2025-03-01T15:00:00-08:00,2025-03-01 23:00:00+00:00,2025-03-01T16:00:00-08:00,2025-03-02 00:00:00+00:00,439,532,2390,3438,2829,3970
2025-03-01T16:00:00-08:00,2025-03-02 00:00:00+00:00,2025-03-01T17:00:00-08:00,2025-03-02 01:00:00+00:00,117,214,39,454,156,668
2025-03-01T17:00:00-08:00,2025-03-02 01:00:00+00:00,2025-03-01T18:00:00-08:00,2025-03-02 02:00:00+00:00,0,0,1,3,1,3
2025-03-01T18:00:00-08:00,2025-03-02 02:00:00+00:00,2025-03-01T19:00:00-08:00,2025-03-02 03:00:00+00:00,0,0,0,0,0,0
2025-03-01T19:00:00-08:00,2025-03-02 03:00:00+00:00,2025-03-01T20:00:00-08:00,2025-03-02 04:00:00+00:00,0,0,0,0,0,0
2025-03-01T20:00:00-08:00,2025-03-02 04:00:00+00:00,2025-03-01T21:00:00-08:00,2025-03-02 05:00:00+00:00,101,191,0,0,101,191
2025-03-01T21:00:00-08:00,2025-03-02 05:00:00+00:00,2025-03-01T22:00:00-08:00,2025-03-02 06:00:00+00:00,0,0,0,0,0,0
2025-03-01T22:00:00-08:00,2025-03-02 06:00:00+00:00,2025-03-01T23:00:00-08:00,2025-03-02 07:00:00+00:00,0,0,0,0,0,0
2025-03-01T23:00:00-08:00,2025-03-02 07:00:00+00:00,2025-03-02T00:00:00-08:00,2025-03-02 08:00:00+00:00,106,215,0,0,106,215
2025-03-02T00:00:00-08:00,2025-03-02 08:00:00+00:00,2025-03-02T01:00:00-08:00,2025-03-02 09:00:00+00:00,84,218,0,0,84,218
2025-03-02T01:00:00-08:00,2025-03-02 09:00:00+00:00,2025-03-02T02:00:00-08:00,2025-03-02 10:00:00+00:00,3,23,0,0,3,23
2025-03-02T02:00:00-08:00,2025-03-02 10:00:00+00:00,2025-03-02T03:00:00-08:00,2025-03-02 11:00:00+00:00,0,0,0,0,0,0
2025-03-02T03:00:00-08:00,2025-03-02 11:00:00+00:00,2025-03-02T04:00:00-08:00,2025-03-02 12:00:00+00:00,0,0,0,0,0,0
2025-03-02T04:00:00-08:00,2025-03-02 12:00:00+00:00,2025-03-02T05:00:00-08:00,2025-03-02 13:00:00+00:00,0,0,0,0,0,0
2025-03-02T05:00:00-08:00,2025-03-02 13:00:00+00:00,2025-03-02T06:00:00-08:00,2025-03-02 14:00:00+00:00,0,0,0,0,0,0
2025-03-02T06:00:00-08:00,2025-03-02 14:00:00+00:00,2025-03-02T07:00:00-08:00,2025-03-02 15:00:00+00:00,0,0,0,0,0,0
2025-03-02T07:00:00-08:00,2025-03-02 15:00:00+00:00,2025-03-02T08:00:00-08:00,2025-03-02 16:00:00+00:00,9,14,412,1454,421,1468
2025-03-02T08:00:00-08:00,2025-03-02 16:00:00+00:00,2025-03-02T09:00:00-08:00,2025-03-02 17:00:00+00:00,122,185,1989,2797,2111,2982
2025-03-02T09:00:00-08:00,2025-03-02 17:00:00+00:00,2025-03-02T10:00:00-08:00,2025-03-02 18:00:00+00:00,103,109,1888,2337,1991,2446
2025-03-02T10:00:00-08:00,2025-03-02 18:00:00+00:00,2025-03-02T11:00:00-08:00,2025-03-02 19:00:00+00:00,272,341,2212,2741,2484,3082
2025-03-02T11:00:00-08:00,2025-03-02 19:00:00+00:00,2025-03-02T12:00:00-08:00,2025-03-02 20:00:00+00:00,375,381,2236,2623,2611,3004
2025-03-02T12:00:00-08:00,2025-03-02 20:00:00+00:00,2025-03-02T13:00:00-08:00,2025-03-02 21:00:00+00:00,732,901,2642,3086,3374,3987
2025-03-02T13:00:00-08:00,2025-03-02 21:00:00+00:00,2025-03-02T14:00:00-08:00,2025-03-02 22:00:00+00:00,705,658,2684,3702,3389,4360
2025-03-02T14:00:00-08:00,2025-03-02 22:00:00+00:00,2025-03-02T15:00:00-08:00,2025-03-02 23:00:00+00:00,816,1129,3357,4003,4173,5132
2025-03-02T15:00:00-08:00,2025-03-02 23:00:00+00:00,2025-03-02T16:00:00-08:00,2025-03-03 00:00:00+00:00,339,404,1618,2742,1957,3146
2025-03-02T16:00:00-08:00,2025-03-03 00:00:00+00:00,2025-03-02T17:00:00-08:00,2025-03-03 01:00:00+00:00,255,267,190,832,445,1099
