interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,wind_curtailment_mwh,wind_curtailment_mw,solar_curtailment_mwh,solar_curtailment_mw,total_curtailment_mwh,total_curtailment_mw
2025-05-01T00:00:00-07:00,2025-05-01 07:00:00+00:00,2025-05-01T01:00:00-07:00,2025-05-01 08:00:00+00:00,192.0,216.0,0.0,0.0,192.0,216.0
2025-05-01T01:00:00-07:00,2025-05-01 08:00:00+00:00,2025-05-01T02:00:00-07:00,2025-05-01 09:00:00+00:00,221.0,242.0,0.0,0.0,221.0,242.0
2025-05-01T02:00:00-07:00,2025-05-01 09:00:00+00:00,2025-05-01T03:00:00-07:00,2025-05-01 10:00:00+00:00,219.0,236.0,0.0,0.0,219.0,236.0
2025-05-01T03:00:00-07:00,2025-05-01 10:00:00+00:00,2025-05-01T04:00:00-07:00,2025-05-01 11:00:00+00:00,218.0,244.0,0.0,0.0,218.0,244.0
2025-05-01T04:00:00-07:00,2025-05-01 11:00:00+00:00,2025-05-01T05:00:00-07:00,2025-05-01 12:00:00+00:00,197.0,233.0,0.0,0.0,197.0,233.0
2025-05-01T05:00:00-07:00,2025-05-01 12:00:00+00:00,2025-05-01T06:00:00-07:00,2025-05-01 13:00:00+00:00,178.0,217.0,0.0,0.0,178.0,217.0
2025-05-01T06:00:00-07:00,2025-05-01 13:00:00+00:00,2025-05-01T07:00:00-07:00,2025-05-01 14:00:00+00:00,173.0,188.0,0.0,0.0,173.0,188.0
2025-05-01T07:00:00-07:00,2025-05-01 14:00:00+00:00,2025-05-01T08:00:00-07:00,2025-05-01 15:00:00+00:00,102.0,23.0,27.0,140.0,129.0,163.0
2025-05-01T08:00:00-07:00,2025-05-01 15:00:00+00:00,2025-05-01T09:00:00-07:00,2025-05-01 16:00:00+00:00,6.0,0.0,378.0,489.0,384.0,489.0
2025-05-01T09:00:00-07:00,2025-05-01 16:00:00+00:00,2025-05-01T10:00:00-07:00,2025-05-01 17:00:00+00:00,0.0,0.0,769.0,967.0,769.0,967.0
2025-05-01T10:00:00-07:00,2025-05-01 17:00:00+00:00,2025-05-01T11:00:00-07:00,2025-05-01 18:00:00+00:00,0.0,0.0,815.0,907.0,815.0,907.0
2025-05-01T11:00:00-07:00,2025-05-01 18:00:00+00:00,2025-05-01T12:00:00-07:00,2025-05-01 19:00:00+00:00,0.0,0.0,881.0,1019.0,881.0,1019.0
2025-05-01T12:00:00-07:00,2025-05-01 19:00:00+00:00,2025-05-01T13:00:00-07:00,2025-05-01 20:00:00+00:00,0.0,0.0,774.0,874.0,774.0,874.0
2025-05-01T13:00:00-07:00,2025-05-01 20:00:00+00:00,2025-05-01T14:00:00-07:00,2025-05-01 21:00:00+00:00,1.0,8.0,776.0,973.0,777.0,981.0
2025-05-01T14:00:00-07:00,2025-05-01 21:00:00+00:00,2025-05-01T15:00:00-07:00,2025-05-01 22:00:00+00:00,0.0,0.0,745.0,916.0,745.0,916.0
2025-05-01T15:00:00-07:00,2025-05-01 22:00:00+00:00,2025-05-01T16:00:00-07:00,2025-05-01 23:00:00+00:00,0.0,0.0,476.0,594.0,476.0,594.0
2025-05-01T16:00:00-07:00,2025-05-01 23:00:00+00:00,2025-05-01T17:00:00-07:00,2025-05-02 00:00:00+00:00,0.0,0.0,192.0,278.0,192.0,278.0
2025-05-01T17:00:00-07:00,2025-05-02 00:00:00+00:00,2025-05-01T18:00:00-07:00,2025-05-02 01:00:00+00:00,1.0,0.0,107.0,158.0,108.0,158.0
2025-05-01T18:00:00-07:00,2025-05-02 01:00:00+00:00,2025-05-01T19:00:00-07:00,2025-05-02 02:00:00+00:00,60.0,137.0,36.0,0.0,96.0,137.0
2025-05-01T19:00:00-07:00,2025-05-02 02:00:00+00:00,2025-05-01T20:00:00-07:00,2025-05-02 03:00:00+00:00,160.0,191.0,2.0,0.0,162.0,191.0
2025-05-01T20:00:00-07:00,2025-05-02 03:00:00+00:00,2025-05-01T21:00:00-07:00,2025-05-02 04:00:00+00:00,164.0,187.0,0.0,0.0,164.0,187.0
2025-05-01T21:00:00-07:00,2025-05-02 04:00:00+00:00,2025-05-01T22:00:00-07:00,2025-05-02 05:00:00+00:00,170.0,180.0,0.0,0.0,170.0,180.0
2025-05-01T22:00:00-07:00,2025-05-02 05:00:00+00:00,2025-05-01T23:00:00-07:00,2025-05-02 06:00:00+00:00,174.0,185.0,0.0,0.0,174.0,185.0
2025-05-01T23:00:00-07:00,2025-05-02 06:00:00+00:00,2025-05-02T00:00:00-07:00,2025-05-02 07:00:00+00:00,163.0,190.0,0.0,0.0,163.0,190.0
2025-05-02T00:00:00-07:00,2025-05-02 07:00:00+00:00,2025-05-02T01:00:00-07:00,2025-05-02 08:00:00+00:00,206.0,212.0,0.0,0.0,206.0,212.0
2025-05-02T01:00:00-07:00,2025-05-02 08:00:00+00:00,2025-05-02T02:00:00-07:00,2025-05-02 09:00:00+00:00,215.0,226.0,0.0,0.0,215.0,226.0
2025-05-02T02:00:00-07:00,2025-05-02 09:00:00+00:00,2025-05-02T03:00:00-07:00,2025-05-02 10:00:00+00:00,200.0,218.0,0.0,0.0,200.0,218.0
2025-05-02T03:00:00-07:00,2025-05-02 10:00:00+00:00,2025-05-02T04:00:00-07:00,2025-05-02 11:00:00+00:00,186.0,194.0,0.0,0.0,186.0,194.0
2025-05-02T04:00:00-07:00,2025-05-02 11:00:00+00:00,2025-05-02T05:00:00-07:00,2025-05-02 12:00:00+00:00,199.0,250.0,0.0,0.0,199.0,250.0
2025-05-02T05:00:00-07:00,2025-05-02 12:00:00+00:00,2025-05-02T06:00:00-07:00,2025-05-02 13:00:00+00:00,178.0,223.0,0.0,0.0,178.0,223.0
2025-05-02T06:00:00-07:00,2025-05-02 13:00:00+00:00,2025-05-02T07:00:00-07:00,2025-05-02 14:00:00+00:00,119.0,158.0,0.0,0.0,119.0,158.0
