interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,wind_curtailment_mwh,wind_curtailment_mw,solar_curtailment_mwh,solar_curtailment_mw,total_curtailment_mwh,total_curtailment_mw
2024-11-01T00:00:00-07:00,2024-11-01 07:00:00+00:00,2024-11-01T01:00:00-07:00,2024-11-01 08:00:00+00:00,0,0,0,0,0,0
2024-11-01T01:00:00-07:00,2024-11-01 08:00:00+00:00,2024-11-01T02:00:00-07:00,2024-11-01 09:00:00+00:00,0,0,0,0,0,0
2024-11-01T02:00:00-07:00,2024-11-01 09:00:00+00:00,2024-11-01T03:00:00-07:00,2024-11-01 10:00:00+00:00,0,0,0,0,0,0
2024-11-01T03:00:00-07:00,2024-11-01 10:00:00+00:00,2024-11-01T04:00:00-07:00,2024-11-01 11:00:00+00:00,0,0,0,0,0,0
2024-11-01T04:00:00-07:00,2024-11-01 11:00:00+00:00,2024-11-01T05:00:00-07:00,2024-11-01 12:00:00+00:00,0,0,0,0,0,0
2024-11-01T05:00:00-07:00,2024-11-01 12:00:00+00:00,2024-11-01T06:00:00-07:00,2024-11-01 13:00:00+00:00,0,0,0,0,0,0
2024-11-01T06:00:00-07:00,2024-11-01 13:00:00+00:00,2024-11-01T07:00:00-07:00,2024-11-01 14:00:00+00:00,0,0,0,0,0,0
2024-11-01T07:00:00-07:00,2024-11-01 14:00:00+00:00,2024-11-01T08:00:00-07:00,2024-11-01 15:00:00+00:00,0,0,0,0,0,0
2024-11-01T08:00:00-07:00,2024-11-01 15:00:00+00:00,2024-11-01T09:00:00-07:00,2024-11-01 16:00:00+00:00,0,0,225,501,225,501
2024-11-01T09:00:00-07:00,2024-11-01 16:00:00+00:00,2024-11-01T10:00:00-07:00,2024-11-01 17:00:00+00:00,2,2,348,585,350,587
2024-11-01T10:00:00-07:00,2024-11-01 17:00:00+00:00,2024-11-01T11:00:00-07:00,2024-11-01 18:00:00+00:00,3,4,329,524,332,528
2024-11-01T11:00:00-07:00,2024-11-01 18:00:00+00:00,2024-11-01T12:00:00-07:00,2024-11-01 19:00:00+00:00,1,0,25,137,26,137
2024-11-01T12:00:00-07:00,2024-11-01 19:00:00+00:00,2024-11-01T13:00:00-07:00,2024-11-01 20:00:00+00:00,0,0,56,290,56,290
2024-11-01T13:00:00-07:00,2024-11-01 20:00:00+00:00,2024-11-01T14:00:00-07:00,2024-11-01 21:00:00+00:00,0,0,1,5,1,5
2024-11-01T14:00:00-07:00,2024-11-01 21:00:00+00:00,2024-11-01T15:00:00-07:00,2024-11-01 22:00:00+00:00,10,20,7,72,17,92
2024-11-01T15:00:00-07:00,2024-11-01 22:00:00+00:00,2024-11-01T16:00:00-07:00,2024-11-01 23:00:00+00:00,17,18,25,167,42,185
2024-11-01T16:00:00-07:00,2024-11-01 23:00:00+00:00,2024-11-01T17:00:00-07:00,2024-11-02 00:00:00+00:00,6,19,36,293,42,312
2024-11-01T17:00:00-07:00,2024-11-02 00:00:00+00:00,2024-11-01T18:00:00-07:00,2024-11-02 01:00:00+00:00,0,0,1,6,1,6
2024-11-01T18:00:00-07:00,2024-11-02 01:00:00+00:00,2024-11-01T19:00:00-07:00,2024-11-02 02:00:00+00:00,8,47,0,0,8,47
2024-11-01T19:00:00-07:00,2024-11-02 02:00:00+00:00,2024-11-01T20:00:00-07:00,2024-11-02 03:00:00+00:00,0,0,0,0,0,0
2024-11-01T20:00:00-07:00,2024-11-02 03:00:00+00:00,2024-11-01T21:00:00-07:00,2024-11-02 04:00:00+00:00,0,0,0,0,0,0
2024-11-01T21:00:00-07:00,2024-11-02 04:00:00+00:00,2024-11-01T22:00:00-07:00,2024-11-02 05:00:00+00:00,0,0,0,0,0,0
2024-11-01T22:00:00-07:00,2024-11-02 05:00:00+00:00,2024-11-01T23:00:00-07:00,2024-11-02 06:00:00+00:00,0,0,0,0,0,0
2024-11-01T23:00:00-07:00,2024-11-02 06:00:00+00:00,2024-11-02T00:00:00-07:00,2024-11-02 07:00:00+00:00,0,0,0,0,0,0
2024-11-02T00:00:00-07:00,2024-11-02 07:00:00+00:00,2024-11-02T01:00:00-07:00,2024-11-02 08:00:00+00:00,0,0,0,0,0,0
2024-11-02T01:00:00-07:00,2024-11-02 08:00:00+00:00,2024-11-02T02:00:00-07:00,2024-11-02 09:00:00+00:00,0,0,0,0,0,0
2024-11-02T02:00:00-07:00,2024-11-02 09:00:00+00:00,2024-11-02T03:00:00-07:00,2024-11-02 10:00:00+00:00,0,0,0,0,0,0
2024-11-02T03:00:00-07:00,2024-11-02 10:00:00+00:00,2024-11-02T04:00:00-07:00,2024-11-02 11:00:00+00:00,0,0,0,0,0,0
2024-11-02T04:00:00-07:00,2024-11-02 11:00:00+00:00,2024-11-02T05:00:00-07:00,2024-11-02 12:00:00+00:00,0,0,0,0,0,0
