interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,wind_curtailment_mwh,wind_curtailment_mw,solar_curtailment_mwh,solar_curtailment_mw,total_curtailment_mwh,total_curtailment_mw
2024-10-01T00:00:00-07:00,2024-10-01 07:00:00+00:00,2024-10-01T01:00:00-07:00,2024-10-01 08:00:00+00:00,0,0,0,0,0,0
2024-10-01T01:00:00-07:00,2024-10-01 08:00:00+00:00,2024-10-01T02:00:00-07:00,2024-10-01 09:00:00+00:00,0,0,0,0,0,0
2024-10-01T02:00:00-07:00,2024-10-01 09:00:00+00:00,2024-10-01T03:00:00-07:00,2024-10-01 10:00:00+00:00,0,0,0,0,0,0
2024-10-01T03:00:00-07:00,2024-10-01 10:00:00+00:00,2024-10-01T04:00:00-07:00,2024-10-01 11:00:00+00:00,0,0,0,0,0,0
2024-10-01T04:00:00-07:00,2024-10-01 11:00:00+00:00,2024-10-01T05:00:00-07:00,2024-10-01 12:00:00+00:00,0,0,0,0,0,0
2024-10-01T05:00:00-07:00,2024-10-01 12:00:00+00:00,2024-10-01T06:00:00-07:00,2024-10-01 13:00:00+00:00,0,0,0,0,0,0
2024-10-01T06:00:00-07:00,2024-10-01 13:00:00+00:00,2024-10-01T07:00:00-07:00,2024-10-01 14:00:00+00:00,0,0,0,0,0,0
2024-10-01T07:00:00-07:00,2024-10-01 14:00:00+00:00,2024-10-01T08:00:00-07:00,2024-10-01 15:00:00+00:00,0,0,0,0,0,0
2024-10-01T08:00:00-07:00,2024-10-01 15:00:00+00:00,2024-10-01T09:00:00-07:00,2024-10-01 16:00:00+00:00,0,0,22,127,22,127
2024-10-01T09:00:00-07:00,2024-10-01 16:00:00+00:00,2024-10-01T10:00:00-07:00,2024-10-01 17:00:00+00:00,0,0,139,259,139,259
2024-10-01T10:00:00-07:00,2024-10-01 17:00:00+00:00,2024-10-01T11:00:00-07:00,2024-10-01 18:00:00+00:00,0,0,176,271,176,271
2024-10-01T11:00:00-07:00,2024-10-01 18:00:00+00:00,2024-10-01T12:00:00-07:00,2024-10-01 19:00:00+00:00,0,0,220,293,220,293
2024-10-01T12:00:00-07:00,2024-10-01 19:00:00+00:00,2024-10-01T13:00:00-07:00,2024-10-01 20:00:00+00:00,0,0,163,213,163,213
2024-10-01T13:00:00-07:00,2024-10-01 20:00:00+00:00,2024-10-01T14:00:00-07:00,2024-10-01 21:00:00+00:00,0,0,156,225,156,225
2024-10-01T14:00:00-07:00,2024-10-01 21:00:00+00:00,2024-10-01T15:00:00-07:00,2024-10-01 22:00:00+00:00,0,0,370,555,370,555
2024-10-01T15:00:00-07:00,2024-10-01 22:00:00+00:00,2024-10-01T16:00:00-07:00,2024-10-01 23:00:00+00:00,0,0,326,578,326,578
2024-10-01T16:00:00-07:00,2024-10-01 23:00:00+00:00,2024-10-01T17:00:00-07:00,2024-10-02 00:00:00+00:00,0,0,154,329,154,329
2024-10-01T17:00:00-07:00,2024-10-02 00:00:00+00:00,2024-10-01T18:00:00-07:00,2024-10-02 01:00:00+00:00,1,0,45,106,46,106
2024-10-01T18:00:00-07:00,2024-10-02 01:00:00+00:00,2024-10-01T19:00:00-07:00,2024-10-02 02:00:00+00:00,0,0,0,0,0,0
2024-10-01T19:00:00-07:00,2024-10-02 02:00:00+00:00,2024-10-01T20:00:00-07:00,2024-10-02 03:00:00+00:00,0,0,0,0,0,0
2024-10-01T20:00:00-07:00,2024-10-02 03:00:00+00:00,2024-10-01T21:00:00-07:00,2024-10-02 04:00:00+00:00,0,0,0,0,0,0
2024-10-01T21:00:00-07:00,2024-10-02 04:00:00+00:00,2024-10-01T22:00:00-07:00,2024-10-02 05:00:00+00:00,0,0,0,0,0,0
2024-10-01T22:00:00-07:00,2024-10-02 05:00:00+00:00,2024-10-01T23:00:00-07:00,2024-10-02 06:00:00+00:00,0,0,0,0,0,0
2024-10-01T23:00:00-07:00,2024-10-02 06:00:00+00:00,2024-10-02T00:00:00-07:00,2024-10-02 07:00:00+00:00,0,0,0,0,0,0
2024-10-02T00:00:00-07:00,2024-10-02 07:00:00+00:00,2024-10-02T01:00:00-07:00,2024-10-02 08:00:00+00:00,0,0,0,0,0,0
2024-10-02T01:00:00-07:00,2024-10-02 08:00:00+00:00,2024-10-02T02:00:00-07:00,2024-10-02 09:00:00+00:00,0,0,0,0,0,0
2024-10-02T02:00:00-07:00,2024-10-02 09:00:00+00:00,2024-10-02T03:00:00-07:00,2024-10-02 10:00:00+00:00,0,0,0,0,0,0
2024-10-02T03:00:00-07:00,2024-10-02 10:00:00+00:00,2024-10-02T04:00:00-07:00,2024-10-02 11:00:00+00:00,0,0,0,0,0,0
2024-10-02T04:00:00-07:00,2024-10-02 11:00:00+00:00,2024-10-02T05:00:00-07:00,2024-10-02 12:00:00+00:00,0,0,0,0,0,0
2024-10-02T05:00:00-07:00,2024-10-02 12:00:00+00:00,2024-10-02T06:00:00-07:00,2024-10-02 13:00:00+00:00,0,0,0,0,0,0
2024-10-02T06:00:00-07:00,2024-10-02 13:00:00+00:00,2024-10-02T07:00:00-07:00,2024-10-02 14:00:00+00:00,0,0,0,0,0,0
2024-10-02T07:00:00-07:00,2024-10-02 14:00:00+00:00,2024-10-02T08:00:00-07:00,2024-10-02 15:00:00+00:00,0,0,0,0,0,0
2024-10-02T08:00:00-07:00,2024-10-02 15:00:00+00:00,2024-10-02T09:00:00-07:00,2024-10-02 16:00:00+00:00,0,0,18,97,18,97
2024-10-02T09:00:00-07:00,2024-10-02 16:00:00+00:00,2024-10-02T10:00:00-07:00,2024-10-02 17:00:00+00:00,0,0,56,87,56,87
2024-10-02T10:00:00-07:00,2024-10-02 17:00:00+00:00,2024-10-02T11:00:00-07:00,2024-10-02 18:00:00+00:00,0,0,156,198,156,198
2024-10-02T11:00:00-07:00,2024-10-02 18:00:00+00:00,2024-10-02T12:00:00-07:00,2024-10-02 19:00:00+00:00,0,0,210,351,210,351
2024-10-02T12:00:00-07:00,2024-10-02 19:00:00+00:00,2024-10-02T13:00:00-07:00,2024-10-02 20:00:00+00:00,0,0,264,388,264,388
2024-10-02T13:00:00-07:00,2024-10-02 20:00:00+00:00,2024-10-02T14:00:00-07:00,2024-10-02 21:00:00+00:00,0,0,363,569,363,569
2024-10-02T14:00:00-07:00,2024-10-02 21:00:00+00:00,2024-10-02T15:00:00-07:00,2024-10-02 22:00:00+00:00,1,6,468,836,469,842
2024-10-02T15:00:00-07:00,2024-10-02 22:00:00+00:00,2024-10-02T16:00:00-07:00,2024-10-02 23:00:00+00:00,0,0,931,1362,931,1362
2024-10-02T16:00:00-07:00,2024-10-02 23:00:00+00:00,2024-10-02T17:00:00-07:00,2024-10-03 00:00:00+00:00,0,0,317,686,317,686
2024-10-02T17:00:00-07:00,2024-10-03 00:00:00+00:00,2024-10-02T18:00:00-07:00,2024-10-03 01:00:00+00:00,2,4,129,228,131,232
2024-10-02T18:00:00-07:00,2024-10-03 01:00:00+00:00,2024-10-02T19:00:00-07:00,2024-10-03 02:00:00+00:00,0,0,8,28,8,28
2024-10-02T19:00:00-07:00,2024-10-03 02:00:00+00:00,2024-10-02T20:00:00-07:00,2024-10-03 03:00:00+00:00,0,0,0,0,0,0
2024-10-02T20:00:00-07:00,2024-10-03 03:00:00+00:00,2024-10-02T21:00:00-07:00,2024-10-03 04:00:00+00:00,0,0,0,0,0,0
2024-10-02T21:00:00-07:00,2024-10-03 04:00:00+00:00,2024-10-02T22:00:00-07:00,2024-10-03 05:00:00+00:00,0,0,0,0,0,0
2024-10-02T22:00:00-07:00,2024-10-03 05:00:00+00:00,2024-10-02T23:00:00-07:00,2024-10-03 06:00:00+00:00,0,0,0,0,0,0
2024-10-02T23:00:00-07:00,2024-10-03 06:00:00+00:00,2024-10-03T00:00:00-07:00,2024-10-03 07:00:00+00:00,0,0,0,0,0,0
2024-10-03T00:00:00-07:00,2024-10-03 07:00:00+00:00,2024-10-03T01:00:00-07:00,2024-10-03 08:00:00+00:00,0,0,0,0,0,0
2024-10-03T01:00:00-07:00,2024-10-03 08:00:00+00:00,2024-10-03T02:00:00-07:00,2024-10-03 09:00:00+00:00,0,0,0,0,0,0
2024-10-03T02:00:00-07:00,2024-10-03 09:00:00+00:00,2024-10-03T03:00:00-07:00,2024-10-03 10:00:00+00:00,0,0,0,0,0,0
2024-10-03T03:00:00-07:00,2024-10-03 10:00:00+00:00,2024-10-03T04:00:00-07:00,2024-10-03 11:00:00+00:00,0,0,0,0,0,0
