interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,wind_curtailment_mwh,wind_curtailment_mw,solar_curtailment_mwh,solar_curtailment_mw,total_curtailment_mwh,total_curtailment_mw
2024-09-01T00:00:00-07:00,2024-09-01 07:00:00+00:00,2024-09-01T01:00:00-07:00,2024-09-01 08:00:00+00:00,0,0,0,0,0,0
2024-09-01T01:00:00-07:00,2024-09-01 08:00:00+00:00,2024-09-01T02:00:00-07:00,2024-09-01 09:00:00+00:00,0,0,0,0,0,0
2024-09-01T02:00:00-07:00,2024-09-01 09:00:00+00:00,2024-09-01T03:00:00-07:00,2024-09-01 10:00:00+00:00,0,5,0,0,0,5
2024-09-01T03:00:00-07:00,2024-09-01 10:00:00+00:00,2024-09-01T04:00:00-07:00,2024-09-01 11:00:00+00:00,0,0,0,0,0,0
2024-09-01T04:00:00-07:00,2024-09-01 11:00:00+00:00,2024-09-01T05:00:00-07:00,2024-09-01 12:00:00+00:00,0,0,0,0,0,0
2024-09-01T05:00:00-07:00,2024-09-01 12:00:00+00:00,2024-09-01T06:00:00-07:00,2024-09-01 13:00:00+00:00,0,0,0,0,0,0
2024-09-01T06:00:00-07:00,2024-09-01 13:00:00+00:00,2024-09-01T07:00:00-07:00,2024-09-01 14:00:00+00:00,0,0,0,0,0,0
2024-09-01T07:00:00-07:00,2024-09-01 14:00:00+00:00,2024-09-01T08:00:00-07:00,2024-09-01 15:00:00+00:00,0,0,0,5,0,5
2024-09-01T08:00:00-07:00,2024-09-01 15:00:00+00:00,2024-09-01T09:00:00-07:00,2024-09-01 16:00:00+00:00,0,0,85,144,85,144
2024-09-01T09:00:00-07:00,2024-09-01 16:00:00+00:00,2024-09-01T10:00:00-07:00,2024-09-01 17:00:00+00:00,0,0,150,189,150,189
2024-09-01T10:00:00-07:00,2024-09-01 17:00:00+00:00,2024-09-01T11:00:00-07:00,2024-09-01 18:00:00+00:00,0,0,135,144,135,144
2024-09-01T11:00:00-07:00,2024-09-01 18:00:00+00:00,2024-09-01T12:00:00-07:00,2024-09-01 19:00:00+00:00,0,0,192,208,192,208
2024-09-01T12:00:00-07:00,2024-09-01 19:00:00+00:00,2024-09-01T13:00:00-07:00,2024-09-01 20:00:00+00:00,0,0,184,212,184,212
2024-09-01T13:00:00-07:00,2024-09-01 20:00:00+00:00,2024-09-01T14:00:00-07:00,2024-09-01 21:00:00+00:00,0,0,147,178,147,178
2024-09-01T14:00:00-07:00,2024-09-01 21:00:00+00:00,2024-09-01T15:00:00-07:00,2024-09-01 22:00:00+00:00,0,0,146,236,146,236
2024-09-01T15:00:00-07:00,2024-09-01 22:00:00+00:00,2024-09-01T16:00:00-07:00,2024-09-01 23:00:00+00:00,0,0,107,111,107,111
2024-09-01T16:00:00-07:00,2024-09-01 23:00:00+00:00,2024-09-01T17:00:00-07:00,2024-09-02 00:00:00+00:00,0,0,82,100,82,100
2024-09-01T17:00:00-07:00,2024-09-02 00:00:00+00:00,2024-09-01T18:00:00-07:00,2024-09-02 01:00:00+00:00,0,0,32,69,32,69
2024-09-01T18:00:00-07:00,2024-09-02 01:00:00+00:00,2024-09-01T19:00:00-07:00,2024-09-02 02:00:00+00:00,0,0,0,0,0,0
2024-09-01T19:00:00-07:00,2024-09-02 02:00:00+00:00,2024-09-01T20:00:00-07:00,2024-09-02 03:00:00+00:00,0,0,0,0,0,0
2024-09-01T20:00:00-07:00,2024-09-02 03:00:00+00:00,2024-09-01T21:00:00-07:00,2024-09-02 04:00:00+00:00,0,0,0,0,0,0
2024-09-01T21:00:00-07:00,2024-09-02 04:00:00+00:00,2024-09-01T22:00:00-07:00,2024-09-02 05:00:00+00:00,0,0,0,0,0,0
2024-09-01T22:00:00-07:00,2024-09-02 05:00:00+00:00,2024-09-01T23:00:00-07:00,2024-09-02 06:00:00+00:00,0,0,0,0,0,0
2024-09-01T23:00:00-07:00,2024-09-02 06:00:00+00:00,2024-09-02T00:00:00-07:00,2024-09-02 07:00:00+00:00,0,0,0,0,0,0
2024-09-02T00:00:00-07:00,2024-09-02 07:00:00+00:00,2024-09-02T01:00:00-07:00,2024-09-02 08:00:00+00:00,0,0,0,0,0,0
2024-09-02T01:00:00-07:00,2024-09-02 08:00:00+00:00,2024-09-02T02:00:00-07:00,2024-09-02 09:00:00+00:00,0,0,0,0,0,0
2024-09-02T02:00:00-07:00,2024-09-02 09:00:00+00:00,2024-09-02T03:00:00-07:00,2024-09-02 10:00:00+00:00,0,0,0,0,0,0
2024-09-02T03:00:00-07:00,2024-09-02 10:00:00+00:00,2024-09-02T04:00:00-07:00,2024-09-02 11:00:00+00:00,0,0,0,0,0,0
2024-09-02T04:00:00-07:00,2024-09-02 11:00:00+00:00,2024-09-02T05:00:00-07:00,2024-09-02 12:00:00+00:00,0,0,0,0,0,0
2024-09-02T05:00:00-07:00,2024-09-02 12:00:00+00:00,2024-09-02T06:00:00-07:00,2024-09-02 13:00:00+00:00,2,8,0,0,2,8
