interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,wind_curtailment_mwh,wind_curtailment_mw,solar_curtailment_mwh,solar_curtailment_mw,total_curtailment_mwh,total_curtailment_mw
2024-06-01T00:00:00-07:00,2024-06-01 07:00:00+00:00,2024-06-01T01:00:00-07:00,2024-06-01 08:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-01T01:00:00-07:00,2024-06-01 08:00:00+00:00,2024-06-01T02:00:00-07:00,2024-06-01 09:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-01T02:00:00-07:00,2024-06-01 09:00:00+00:00,2024-06-01T03:00:00-07:00,2024-06-01 10:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-01T03:00:00-07:00,2024-06-01 10:00:00+00:00,2024-06-01T04:00:00-07:00,2024-06-01 11:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-01T04:00:00-07:00,2024-06-01 11:00:00+00:00,2024-06-01T05:00:00-07:00,2024-06-01 12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-01T05:00:00-07:00,2024-06-01 12:00:00+00:00,2024-06-01T06:00:00-07:00,2024-06-01 13:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-01T06:00:00-07:00,2024-06-01 13:00:00+00:00,2024-06-01T07:00:00-07:00,2024-06-01 14:00:00+00:00,0.0,0.0,7.0,55.0,7.0,55.0
2024-06-01T07:00:00-07:00,2024-06-01 14:00:00+00:00,2024-06-01T08:00:00-07:00,2024-06-01 15:00:00+00:00,190.0,242.0,1522.0,3076.0,1712.0,3318.0
2024-06-01T08:00:00-07:00,2024-06-01 15:00:00+00:00,2024-06-01T09:00:00-07:00,2024-06-01 16:00:00+00:00,174.0,302.0,2751.0,3027.0,2925.0,3329.0
2024-06-01T09:00:00-07:00,2024-06-01 16:00:00+00:00,2024-06-01T10:00:00-07:00,2024-06-01 17:00:00+00:00,160.0,138.0,2798.0,3238.0,2958.0,3376.0
2024-06-01T10:00:00-07:00,2024-06-01 17:00:00+00:00,2024-06-01T11:00:00-07:00,2024-06-01 18:00:00+00:00,144.0,154.0,2834.0,3194.0,2978.0,3348.0
2024-06-01T11:00:00-07:00,2024-06-01 18:00:00+00:00,2024-06-01T12:00:00-07:00,2024-06-01 19:00:00+00:00,154.0,156.0,2201.0,2406.0,2355.0,2562.0
2024-06-01T12:00:00-07:00,2024-06-01 19:00:00+00:00,2024-06-01T13:00:00-07:00,2024-06-01 20:00:00+00:00,211.0,241.0,2400.0,2504.0,2611.0,2745.0
2024-06-01T13:00:00-07:00,2024-06-01 20:00:00+00:00,2024-06-01T14:00:00-07:00,2024-06-01 21:00:00+00:00,214.0,217.0,2423.0,2667.0,2637.0,2884.0
