Date,total_curtailment_mwh
2025-09-01 00:00:00,0
2025-09-01 01:00:00,0
2025-09-01 02:00:00,0
2025-09-01 03:00:00,0
2025-09-01 04:00:00,0
2025-09-01 05:00:00,0
2025-09-01 06:00:00,0
2025-09-01 07:00:00,24
2025-09-01 08:00:00,127
2025-09-01 09:00:00,210
2025-09-01 10:00:00,124
2025-09-01 11:00:00,221
2025-09-01 12:00:00,274
2025-09-01 13:00:00,471
2025-09-01 14:00:00,538
2025-09-01 15:00:00,487
2025-09-01 16:00:00,457
2025-09-01 17:00:00,234
2025-09-01 18:00:00,127
2025-09-01 19:00:00,22
2025-09-01 20:00:00,1
2025-09-01 21:00:00,1
2025-09-01 22:00:00,0
2025-09-01 23:00:00,0
2025-09-02 00:00:00,0
2025-09-02 01:00:00,0
2025-09-02 02:00:00,0
2025-09-02 03:00:00,0
2025-09-02 04:00:00,0
2025-09-02 05:00:00,0
2025-09-02 06:00:00,0
2025-09-02 07:00:00,18
2025-09-02 08:00:00,78
2025-09-02 09:00:00,120
2025-09-02 10:00:00,38
2025-09-02 11:00:00,57
2025-09-02 12:00:00,115
2025-09-02 13:00:00,122
2025-09-02 14:00:00,225
2025-09-02 15:00:00,216
2025-09-02 16:00:00,217
2025-09-02 17:00:00,265
2025-09-02 18:00:00,56
2025-09-02 19:00:00,5
2025-09-02 20:00:00,0
2025-09-02 21:00:00,0
2025-09-02 22:00:00,0
2025-09-02 23:00:00,0
2025-09-03 00:00:00,0
2025-09-03 01:00:00,0
2025-09-03 02:00:00,0
2025-09-03 03:00:00,0
2025-09-03 04:00:00,0
2025-09-03 05:00:00,0
2025-09-03 06:00:00,0
2025-09-03 07:00:00,23
2025-09-03 08:00:00,177
2025-09-03 09:00:00,302
2025-09-03 10:00:00,419
2025-09-03 11:00:00,415
2025-09-03 12:00:00,317
2025-09-03 13:00:00,386
2025-09-03 14:00:00,445
2025-09-03 15:00:00,476
2025-09-03 16:00:00,406
2025-09-03 17:00:00,193
2025-09-03 18:00:00,67
2025-09-03 19:00:00,0
2025-09-03 20:00:00,0
2025-09-03 21:00:00,0
2025-09-03 22:00:00,0
2025-09-03 23:00:00,0
2025-09-04 00:00:00,0
2025-09-04 01:00:00,0
2025-09-04 02:00:00,0
2025-09-04 03:00:00,0
2025-09-04 04:00:00,0
2025-09-04 05:00:00,0
2025-09-04 06:00:00,0
2025-09-04 07:00:00,31
2025-09-04 08:00:00,90
2025-09-04 09:00:00,155
2025-09-04 10:00:00,187
2025-09-04 11:00:00,227
2025-09-04 12:00:00,229
2025-09-04 13:00:00,276
2025-09-04 14:00:00,304
2025-09-04 15:00:00,386
2025-09-04 16:00:00,483
2025-09-04 17:00:00,383
2025-09-04 18:00:00,117
2025-09-04 19:00:00,3
2025-09-04 20:00:00,0
2025-09-04 21:00:00,0
2025-09-04 22:00:00,0
2025-09-04 23:00:00,0
2025-09-05 00:00:00,0
2025-09-05 01:00:00,1
2025-09-05 02:00:00,0
2025-09-05 03:00:00,0
2025-09-05 04:00:00,0
2025-09-05 05:00:00,0
2025-09-05 06:00:00,0
2025-09-05 07:00:00,29
2025-09-05 08:00:00,168
2025-09-05 09:00:00,893
2025-09-05 10:00:00,788
2025-09-05 11:00:00,807
2025-09-05 12:00:00,902
2025-09-05 13:00:00,616
2025-09-05 14:00:00,461
2025-09-05 15:00:00,238
2025-09-05 16:00:00,226
2025-09-05 17:00:00,130
2025-09-05 18:00:00,30
2025-09-05 19:00:00,0
2025-09-05 20:00:00,0
2025-09-05 21:00:00,0
2025-09-05 22:00:00,0
2025-09-05 23:00:00,0
2025-09-06 00:00:00,0
2025-09-06 01:00:00,0
2025-09-06 02:00:00,0
2025-09-06 03:00:00,0
2025-09-06 04:00:00,0
2025-09-06 05:00:00,0
2025-09-06 06:00:00,0
2025-09-06 07:00:00,8
2025-09-06 08:00:00,329
2025-09-06 09:00:00,802
2025-09-06 10:00:00,618
2025-09-06 11:00:00,558
2025-09-06 12:00:00,480
2025-09-06 13:00:00,663
2025-09-06 14:00:00,749
2025-09-06 15:00:00,389
2025-09-06 16:00:00,295
2025-09-06 17:00:00,73
2025-09-06 18:00:00,35
2025-09-06 19:00:00,0
2025-09-06 20:00:00,0
2025-09-06 21:00:00,0
2025-09-06 22:00:00,0
2025-09-06 23:00:00,8
2025-09-07 00:00:00,6
2025-09-07 01:00:00,0
2025-09-07 02:00:00,0
2025-09-07 03:00:00,0
2025-09-07 04:00:00,0
2025-09-07 05:00:00,0
2025-09-07 06:00:00,0
2025-09-07 07:00:00,21
2025-09-07 08:00:00,746
2025-09-07 09:00:00,1171
2025-09-07 10:00:00,638
2025-09-07 11:00:00,663
2025-09-07 12:00:00,793
2025-09-07 13:00:00,845
2025-09-07 14:00:00,678
2025-09-07 15:00:00,745
2025-09-07 16:00:00,256
2025-09-07 17:00:00,72
2025-09-07 18:00:00,33
2025-09-07 19:00:00,0
2025-09-07 20:00:00,0
2025-09-07 21:00:00,0
2025-09-07 22:00:00,3
2025-09-07 23:00:00,5
2025-09-08 00:00:00,9
2025-09-08 01:00:00,9
2025-09-08 02:00:00,0
2025-09-08 03:00:00,0
2025-09-08 04:00:00,0
2025-09-08 05:00:00,0
2025-09-08 06:00:00,0
2025-09-08 07:00:00,56
2025-09-08 08:00:00,972
2025-09-08 09:00:00,1488
2025-09-08 10:00:00,724
2025-09-08 11:00:00,729
2025-09-08 12:00:00,555
2025-09-08 13:00:00,467
2025-09-08 14:00:00,734
2025-09-08 15:00:00,715
2025-09-08 16:00:00,326
2025-09-08 17:00:00,106
2025-09-08 18:00:00,58
2025-09-08 19:00:00,0
2025-09-08 20:00:00,16
2025-09-08 21:00:00,4
2025-09-08 22:00:00,0
2025-09-08 23:00:00,12
2025-09-09 00:00:00,15
2025-09-09 01:00:00,0
2025-09-09 02:00:00,0
2025-09-09 03:00:00,0
2025-09-09 04:00:00,0
2025-09-09 05:00:00,0
2025-09-09 06:00:00,0
2025-09-09 07:00:00,9
2025-09-09 08:00:00,640
2025-09-09 09:00:00,794
2025-09-09 10:00:00,636
2025-09-09 11:00:00,462
2025-09-09 12:00:00,476
2025-09-09 13:00:00,473
2025-09-09 14:00:00,845
2025-09-09 15:00:00,810
2025-09-09 16:00:00,584
2025-09-09 17:00:00,121
2025-09-09 18:00:00,31
2025-09-09 19:00:00,0
2025-09-09 20:00:00,0
2025-09-09 21:00:00,0
2025-09-09 22:00:00,0
2025-09-09 23:00:00,0
2025-09-10 00:00:00,0
2025-09-10 01:00:00,0
2025-09-10 02:00:00,0
2025-09-10 03:00:00,0
2025-09-10 04:00:00,0
2025-09-10 05:00:00,0
2025-09-10 06:00:00,0
2025-09-10 07:00:00,15
2025-09-10 08:00:00,352
2025-09-10 09:00:00,723
2025-09-10 10:00:00,507
2025-09-10 11:00:00,375
2025-09-10 12:00:00,193
2025-09-10 13:00:00,187
2025-09-10 14:00:00,354
2025-09-10 15:00:00,482
2025-09-10 16:00:00,428
2025-09-10 17:00:00,221
2025-09-10 18:00:00,95
2025-09-10 19:00:00,12
2025-09-10 20:00:00,0
2025-09-10 21:00:00,0
2025-09-10 22:00:00,0
2025-09-10 23:00:00,0
2025-09-11 00:00:00,0
2025-09-11 01:00:00,0
2025-09-11 02:00:00,0
2025-09-11 03:00:00,0
2025-09-11 04:00:00,0
2025-09-11 05:00:00,0
2025-09-11 06:00:00,0
2025-09-11 07:00:00,9
2025-09-11 08:00:00,125
2025-09-11 09:00:00,451
2025-09-11 10:00:00,1032
2025-09-11 11:00:00,1422
2025-09-11 12:00:00,1006
2025-09-11 13:00:00,931
2025-09-11 14:00:00,923
2025-09-11 15:00:00,884
2025-09-11 16:00:00,718
2025-09-11 17:00:00,373
2025-09-11 18:00:00,61
2025-09-11 19:00:00,2
2025-09-11 20:00:00,12
2025-09-11 21:00:00,7
2025-09-11 22:00:00,0
2025-09-11 23:00:00,0
2025-09-12 00:00:00,0
2025-09-12 01:00:00,0
2025-09-12 02:00:00,0
2025-09-12 03:00:00,0
2025-09-12 04:00:00,0
2025-09-12 05:00:00,0
2025-09-12 06:00:00,0
2025-09-12 07:00:00,0
2025-09-12 08:00:00,388
2025-09-12 09:00:00,696
2025-09-12 10:00:00,840
2025-09-12 11:00:00,835
2025-09-12 12:00:00,921
2025-09-12 13:00:00,761
2025-09-12 14:00:00,1105
2025-09-12 15:00:00,1104
2025-09-12 16:00:00,709
2025-09-12 17:00:00,255
2025-09-12 18:00:00,25
2025-09-12 19:00:00,1
2025-09-12 20:00:00,0
2025-09-12 21:00:00,0
2025-09-12 22:00:00,0
2025-09-12 23:00:00,0
2025-09-13 00:00:00,0
2025-09-13 01:00:00,0
2025-09-13 02:00:00,0
2025-09-13 03:00:00,0
2025-09-13 04:00:00,0
2025-09-13 05:00:00,0
2025-09-13 06:00:00,0
2025-09-13 07:00:00,31
2025-09-13 08:00:00,571
