"DateTime","Economic - Local","Economic - System","Self Schedule Cut - Local","Self Schedule Cut - System","Operator Instruction - Local","Operator Instruction - System"
"2026-01-02 00:00:00",0.00009225,0.00006042,0,0,0,0
"2026-01-02 01:00:00",0.0000655,0.0000405,0,0,0,0
"2026-01-02 02:00:00",0.00003633,0.0001946,0,0,0,0
"2026-01-02 03:00:00",0.00001983,0.00003967,0,0,0,0
"2026-01-02 04:00:00",0,0.00007092,0,0,0,0
"2026-01-02 05:00:00",0.00007717,0.00002383,0,0,0,0
"2026-01-02 06:00:00",0.0001001,0.000123,0,0,0,0
"2026-01-02 07:00:00",0.1415,0.004139,0,0,0,0
"2026-01-02 08:00:00",1.331,2.534,0,0,0,0
"2026-01-02 09:00:00",1.869,11.1,0,0,0,0
"2026-01-02 10:00:00",6.209,8.832,0,0,0,0
"2026-01-02 11:00:00",9.31,9.784,0,0,0,0
"2026-01-02 12:00:00",1.838,20.82,0,0,0,0
"2026-01-02 13:00:00",0.01231,7.266,0,0,0,0
"2026-01-02 14:00:00",0.004536,0.02905,0,0.01333,0,0
"2026-01-02 15:00:00",0.6186,0.1051,0,0.05,0,0
"2026-01-02 16:00:00",0.7354,0.009973,0,0,0,0
"2026-01-02 17:00:00",1.501,0,0,0,0,0
"2026-01-02 18:00:00",1.648,1.983,0,0,0,0
"2026-01-02 19:00:00",0.04632,0.0001231,0,0,0,0
"2026-01-02 20:00:00",0.00002892,0.00007642,0,0,0,0
"2026-01-02 21:00:00",0.0001421,0.0001357,0,0,0,0
"2026-01-02 22:00:00",0.00004858,0.00001883,0,0,0,0
"2026-01-02 23:00:00",0.00003567,0.00004625,0,0,0,0
