"DateTime","Economic - Local","Economic - System","Self Schedule Cut - Local","Self Schedule Cut - System","Operator Instruction - Local","Operator Instruction - System"
"2026-03-13 00:00:00",0,0,0,0,0,0
"2026-03-13 01:00:00",0,0,0,0,0,0
"2026-03-13 02:00:00",0,0,0,0,0,0
"2026-03-13 03:00:00",0,0,0,0,0,0
"2026-03-13 04:00:00",0,0,0,0,0,0
"2026-03-13 05:00:00",0,0,0,0,0,0
"2026-03-13 06:00:00",0,0,0,0,0,0
"2026-03-13 07:00:00",50.21,0.004076,0,0,0,0
"2026-03-13 08:00:00",1608,8.42,0,0,0,0
"2026-03-13 09:00:00",1222,276.7,0,0,0,0
"2026-03-13 10:00:00",1861,150.7,0,0,0,0
"2026-03-13 11:00:00",2117,0.003901,0,0,0,0
"2026-03-13 12:00:00",2597,0.003412,0,0,0,0
"2026-03-13 13:00:00",2140,0.003116,0,0,0,0
"2026-03-13 14:00:00",1319,0.8986,0,0,0,0
"2026-03-13 15:00:00",1021,13.14,0,0,0,0
"2026-03-13 16:00:00",988.3,2.12,0,0,0,0
"2026-03-13 17:00:00",27.35,5.224,0,0,0,0
"2026-03-13 18:00:00",21.08,25.25,0,0,0,0
"2026-03-13 19:00:00",0.0001147,0,0,0,0,0
"2026-03-13 20:00:00",0,0,0,0,0,0
"2026-03-13 21:00:00",0,0,0,0,0,0
"2026-03-13 22:00:00",0,0,0,0,0,0
"2026-03-13 23:00:00",0,0,0,0,0,0
